Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2NV0mpU5YbyJXydzYPgw5O,"0ErzCpIMyLcjPiwT4elrtZ,55Aa2cqylxrFIXC767Z865","AIN'T GONNA ANSWER","AIN'T GONNA ANSWER","NLE Choppa,Lil Wayne",2023-03-23,187453,0,spotify:user:,2023-03-24T04:00:00Z,"memphis hip hop,hip hop,new orleans rap,pop rap,rap,trap",0.879,0.875,10,-1.868,0,0.18,0.0808,0,0.327,0.763,95.021,4
7rl489EKnUgITmkBd6P9zi,"2Ggj5XNlIb4Lnbqe307FyB,3MdXrJWsbVzdn6fe5JYkSQ,5lbW0rNhFyCiSlClBMYbki","Don't Play With It (feat. Latto & Yung Miami) - Remix","Don't Play With It (feat. Latto & Yung Miami) [Remix]","Lola Brooke,Latto,Yung Miami",2023-03-24,179533,0,spotify:user:,2023-03-24T04:00:00Z,"trap queen,viral rap,pop,r&b,rap",0.776,0.688,1,-5.75,1,0.127,0.00645,0,0.0757,0.43,99.122,4
5H7IzRvSCGY2p7jjuCu6g1,"08PvCOlef4xdOr20jFSTPd,2sflbTtCirog5VxD6jPAfb,7eDFwYpqsAROCZibWYr5C1","Bed Time (feat. Monaleo & Gloss Up)","Bed Time (feat. Monaleo & Gloss Up)","Flo Milli,Monaleo,Gloss Up",2023-03-23,220443,0,spotify:user:,2023-03-24T04:00:00Z,"dance pop,pop,r&b,rap,viral rap",0.889,0.814,2,-4.549,1,0.0645,0.15,0.0000191,0.0709,0.337,109.965,4
7qAwnjc2qPbpK1gB4VRwXW,"6MPCFvOQv5cIGfw3jODMF0,757aE44tKEUQEqRuT6GnEB,46SHBwWsqBkxI7EeeBEQG7","I Remember (feat. Roddy Ricch & Kodak Black)","I Remember (feat. Roddy Ricch & Kodak Black)","Internet Money,Roddy Ricch,Kodak Black",2023-03-24,173379,20,spotify:user:,2023-03-24T04:00:00Z,"pop rap,rap,trap,viral rap,melodic rap,florida drill,florida rap,hip hop,miami hip hop,trap latino",0.517,0.571,1,-7.502,0,0.124,0.074,0,0.0982,0.428,144.745,4
75mPObh81zu09GdVOfRG6l,"6aiFCgyKNwF9Rv5TOxnE8E,1pPmIToKXyGdsCF6LmqLmI","850 (We On Top) [feat. Rich The Kid]","850 (We On Top) [feat. Rich The Kid]","IDK,Rich The Kid",2023-03-24,219041,19,spotify:user:,2023-03-24T04:00:00Z,"dmv rap,hip hop,rap,trap,underground hip hop,viral rap,atl hip hop,melodic rap,plugg,pop rap,southern hip hop,vapor trap",0.618,0.528,11,-8.211,1,0.382,0.0317,0,0.0929,0.422,123.024,4
7r6uppLBApzJPMpDmdFoi4,"3IJ21966TwNZI24MwZHMu4,6cK3NBO6uP7hh0oyuVELFl","Hey, Mickey!","Hey, Mickey!","Baby Tate,Saweetie",2023-03-24,173532,0,spotify:user:,2023-03-24T04:00:00Z,"alternative r&b,pop,rap,trap queen,viral rap,cali rap,dance pop",0.943,0.625,9,-7.85,1,0.0699,0.25,0,0.0981,0.725,134.965,4
0GHiZ3kacZWNjEx26ZTyM8,"3crnzLy8R4lVwaigKEOz7V","Bands","Bands","E-40",2023-03-24,157660,0,spotify:user:,2023-03-24T04:00:00Z,"cali rap,gangster rap,hip hop,hyphy,oakland hip hop,pop rap,rap,southern hip hop,trap,west coast rap",0.801,0.952,10,-2.835,1,0.252,0.0392,0,0.146,0.466,134.874,4
39uEuUEWsAZtozSQRPlf62,"6veh5zbFpm31XsPdjBgPER,5Y5TRrQiqgUO4S36tzjIRZ","I'M THAT BITCH","I'M THAT BITCH","BIA,Timbaland",2023-03-24,152043,23,spotify:user:,2023-03-24T04:00:00Z,"alternative r&b,pop,r&b,rap,rap latina,trap queen,viral rap,dance pop,hip hop,pop rap,urban contemporary",0.813,0.636,7,-6.173,0,0.21,0.328,0,0.129,0.723,140.948,4
3MT8ekypV5xYBLstqFpDkV,"4c2ighP1wj8E5dVGJDCOiB,0CKa42Jqrc9fSFbDjePaXP","TURNIN' HEADS","TURNIN' HEADS","Kari Faux,Big K.R.I.T.",2023-03-22,176982,32,spotify:user:,2023-03-24T04:00:00Z,"alternative r&b,arkansas hip hop,escape room,indie r&b,indie soul,multidisciplinary,trap queen,viral rap,alternative hip hop,conscious hip hop,dirty south rap,gangster rap,hip hop,houston rap,mississippi hip hop,pop rap,rap,southern hip hop,trap,underground hip hop",0.782,0.54,1,-8.891,1,0.143,0.385,0,0.172,0.842,142.613,4
27N0pJsw7yMwewEEgFdklN,"6q3p11nP1p80Ey6LrOOSed,20qISvAhX20dpIbOOzGK3q","The Tide","SURF OR DROWN","Hit-Boy,Nas",2023-03-24,236730,0,spotify:user:,2023-03-24T04:00:00Z,"cali rap,conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,queens hip hop,rap",0.455,0.704,1,-5.218,1,0.378,0.245,0,0.156,0.325,77.783,4
