Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2NV0mpU5YbyJXydzYPgw5O,"0ErzCpIMyLcjPiwT4elrtZ,55Aa2cqylxrFIXC767Z865","AIN'T GONNA ANSWER","AIN'T GONNA ANSWER","NLE Choppa,Lil Wayne",2023-03-23,187453,0,spotify:user:,2023-03-24T04:00:00Z,"memphis hip hop,hip hop,new orleans rap,pop rap,rap,trap",0.879,0.875,10,-1.868,0,0.18,0.0808,0,0.327,0.763,95.021,4
7rl489EKnUgITmkBd6P9zi,"2Ggj5XNlIb4Lnbqe307FyB,3MdXrJWsbVzdn6fe5JYkSQ,5lbW0rNhFyCiSlClBMYbki","Don't Play With It (feat. Latto & Yung Miami) - Remix","Don't Play With It (feat. Latto & Yung Miami) [Remix]","Lola Brooke,Latto,Yung Miami",2023-03-24,179533,0,spotify:user:,2023-03-24T04:00:00Z,"trap queen,viral rap,pop,r&b,rap",0.776,0.688,1,-5.75,1,0.127,0.00645,0,0.0757,0.43,99.122,4
5Ee4IyhPaOVRMc15fUOeG9,"0iEtIxbK0KxaSlF7G42ZOp,1Xyo4u8uXC1ZmMpatF05PJ,59wfkuBoNyhDMQGCljbUbA,1URnnhqYAYcrqrcwql10ft","Creepin' (feat. 21 Savage) - Remix","Creepin' (Remix)","Metro Boomin,The Weeknd,Diddy,21 Savage",2023-03-17,232800,65,spotify:user:,2023-03-24T04:00:00Z,"rap,canadian contemporary r&b,canadian pop,pop,dance pop,east coast hip hop,hip hop,hip pop,pop rap,r&b,atl hip hop",0.709,0.661,1,-5.993,0,0.0737,0.48,0,0.089,0.18,97.962,4
2eN0rxTtgxKkmVCNgizayr,"0VRj0yCOv2FXJNP47XQnx5","Greatness","Greatness","Quavo",2023-02-24,185000,75,spotify:user:,2023-03-24T04:00:00Z,"atl hip hop,melodic rap,rap,trap",0.825,0.718,1,-2.896,1,0.0518,0.0732,0.000157,0.142,0.919,139.983,4
39uEuUEWsAZtozSQRPlf62,"6veh5zbFpm31XsPdjBgPER,5Y5TRrQiqgUO4S36tzjIRZ","I'M THAT BITCH","I'M THAT BITCH","BIA,Timbaland",2023-03-24,152043,23,spotify:user:,2023-03-24T04:00:00Z,"alternative r&b,pop,r&b,rap,rap latina,trap queen,viral rap,dance pop,hip hop,pop rap,urban contemporary",0.813,0.636,7,-6.173,0,0.21,0.328,0,0.129,0.723,140.948,4
7qAwnjc2qPbpK1gB4VRwXW,"6MPCFvOQv5cIGfw3jODMF0,757aE44tKEUQEqRuT6GnEB,46SHBwWsqBkxI7EeeBEQG7","I Remember (feat. Roddy Ricch & Kodak Black)","I Remember (feat. Roddy Ricch & Kodak Black)","Internet Money,Roddy Ricch,Kodak Black",2023-03-24,173379,20,spotify:user:,2023-03-24T04:00:00Z,"pop rap,rap,trap,viral rap,melodic rap,florida drill,florida rap,hip hop,miami hip hop,trap latino",0.517,0.571,1,-7.502,0,0.124,0.074,0,0.0982,0.428,144.745,4
52NGJPcLUzQq5w7uv4e5gf,"4Gso3d4CscCijv0lmajZWs,1uNFoZAHBGtllmzznpCI3s,1RyvyyTE3xzB2ZywiAwp0i","Private Landing (feat. Justin Bieber & Future)","Love Sick","Don Toliver,Justin Bieber,Future",2023-02-24,238253,82,spotify:user:,2023-03-24T04:00:00Z,"rap,trap,canadian pop,pop,atl hip hop,southern hip hop",0.843,0.669,1,-4.105,0,0.0639,0.0846,0.0000128,0.105,0.435,136.979,4
6AQbmUe0Qwf5PZnt4HmTXv,"78rUTD7y6Cy67W1RVzYs7t,3LZZPxNDGDFVSIPqf4JuEf","Boy's a liar Pt. 2","Boy's a liar Pt. 2","PinkPantheress,Ice Spice",2023-02-03,131013,96,spotify:user:,2023-03-24T04:00:00Z,"",0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,4
0FA4wrjDJvJTTU8AepZTup,"4O15NlyKLIASxsJ0PrXPfz,0M2CO5ijP35MDhNwvpgxTV,2xzyIzdjfeXX6FIQtlAAyw","Watch This - ARIZONATEARS Pluggnb Remix","Watch This (ARIZONATEARS Pluggnb Remix)","Lil Uzi Vert,sped up nightcore,ARIZONATEARS",2023-02-05,163139,88,spotify:user:,2023-03-24T04:00:00Z,"melodic rap,philly rap,rap,trap,nightcore,sped up",0.686,0.897,11,-7.18,0,0.0386,0.0103,0.103,0.153,0.355,129.975,4
75mPObh81zu09GdVOfRG6l,"6aiFCgyKNwF9Rv5TOxnE8E,1pPmIToKXyGdsCF6LmqLmI","850 (We On Top) [feat. Rich The Kid]","850 (We On Top) [feat. Rich The Kid]","IDK,Rich The Kid",2023-03-24,219041,19,spotify:user:,2023-03-24T04:00:00Z,"dmv rap,hip hop,rap,trap,underground hip hop,viral rap,atl hip hop,melodic rap,plugg,pop rap,southern hip hop,vapor trap",0.618,0.528,11,-8.211,1,0.382,0.0317,0,0.0929,0.422,123.024,4
