Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
68Dni7IE4VyPkTOH9mRWHr,"6l3HvQ5sa6mXTsMTB19rO5","No Role Modelz","2014 Forest Hills Drive","J. Cole",2014-12-09,292799,88,spotify:user:,2023-03-24T04:01:00Z,"conscious hip hop,hip hop,north carolina hip hop,rap",0.69,0.521,10,-8.492,0,0.339,0.324,0,0.0534,0.494,100.028,4
1QPreu0BNOrUfEb8HTd2qG,"2YZyLoL8N0Wb9xBt1NhZWg","Rich Spirit","Mr. Morale & The Big Steppers","Kendrick Lamar",2022-05-13,202285,77,spotify:user:,2023-03-24T04:01:00Z,"conscious hip hop,hip hop,rap,west coast rap",0.852,0.421,10,-9.153,0,0.208,0.428,0.00000228,0.106,0.457,95.977,4
10hcDov7xmcRviA8jLwEaI,"5cj0lLjcoR7YOSnhnX0Po5","Need to Know","Need to Know","Doja Cat",2021-06-11,210560,65,spotify:user:,2023-03-24T04:01:00Z,"dance pop,pop",0.664,0.609,1,-6.509,1,0.0707,0.304,0,0.0926,0.194,130.041,4
2dHHgzDwk4BJdRwy9uXhTO,"0iEtIxbK0KxaSlF7G42ZOp,1Xyo4u8uXC1ZmMpatF05PJ,1URnnhqYAYcrqrcwql10ft","Creepin' (with The Weeknd & 21 Savage)","HEROES & VILLAINS","Metro Boomin,The Weeknd,21 Savage",2022-12-02,221520,95,spotify:user:,2023-03-24T04:01:00Z,"rap,canadian contemporary r&b,canadian pop,pop,atl hip hop",0.715,0.62,1,-6.005,0,0.0484,0.417,0,0.0822,0.172,97.95,4
3zQ61IRdlSbEyYQlwQZZxS,"0hCNtLu0JehylgoiP8L4Gh,14CHVeJGrR5xgUGQFV5BVM","We Go Up (feat. Fivio Foreign)","We Go Up","Nicki Minaj,Fivio Foreign",2022-03-25,255188,61,spotify:user:,2023-03-24T04:01:00Z,"dance pop,hip pop,pop,queens hip hop,rap,brooklyn drill,new york drill,pop rap,trap",0.707,0.909,2,-3.501,1,0.261,0.413,0,0.305,0.703,145.014,4
3F5CgOj3wFlRv51JsHbxhe,"3TVXtAsR1Inumwj472S9r4,1URnnhqYAYcrqrcwql10ft","Jimmy Cooks (feat. 21 Savage)","Honestly, Nevermind","Drake,21 Savage",2022-06-17,218364,86,spotify:user:,2023-03-24T04:01:00Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap,atl hip hop",0.529,0.673,0,-4.711,1,0.175,0.000307,0.00000241,0.093,0.366,165.921,4
3uJFmluXzYedoJcvhpC1AW,"4kYSro6naA4h99UJvo89HB,5K4W6rqBFWDnAN6FQUkS6x,3hcs9uc56yIGFCSy9leWe7","Hot Shit (feat. Ye & Lil Durk)","Hot Shit (feat. Ye & Lil Durk)","Cardi B,Kanye West,Lil Durk",2022-07-01,211649,71,spotify:user:,2023-03-24T04:01:00Z,"dance pop,pop,rap,viral rap,chicago rap,chicago drill,drill,hip hop,trap",0.878,0.685,9,-5.28,1,0.225,0.00152,0,0.0753,0.523,157.003,4
1udwFobQ1JoOdWPQrp2b6u,"6U3ybJ9UHNKEdsH7ktGBZ7,1URnnhqYAYcrqrcwql10ft,3IJ21966TwNZI24MwZHMu4","Surround Sound (feat. 21 Savage & Baby Tate)","The Forever Story (Extended Version)","JID,21 Savage,Baby Tate",2022-10-31,229938,77,spotify:user:,2023-03-24T04:01:00Z,"hip hop,rap,atl hip hop,alternative r&b,pop,trap queen,viral rap",0.575,0.56,5,-7.302,1,0.478,0.173,0,0.257,0.471,75.956,4
1CJ8e0zc8uvAmkqdeXrq4u,"4Gso3d4CscCijv0lmajZWs,3hcs9uc56yIGFCSy9leWe7,2qoQgPAilErOKCwE2Y8wOG","Leave The Club (feat. Lil Durk & GloRilla)","Leave The Club (feat. Lil Durk & GloRilla)","Don Toliver,Lil Durk,GloRilla",2023-02-17,222386,67,spotify:user:,2023-03-24T04:01:00Z,"rap,trap,chicago drill,chicago rap,drill,hip hop,viral rap",0.747,0.701,6,-3.694,0,0.0338,0.122,0,0.323,0.149,104.995,4
1bDbXMyjaUIooNwFE9wn0N,"3TVXtAsR1Inumwj472S9r4,1URnnhqYAYcrqrcwql10ft","Rich Flex","Her Loss","Drake,21 Savage",2022-11-04,239359,90,spotify:user:,2023-03-24T04:01:00Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap,atl hip hop",0.561,0.52,11,-9.342,0,0.244,0.0503,0.00000186,0.355,0.424,153.15,3
