Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6m7hNhdEn55c93YynOfWas,"6qgnBH6iDM91ipVXv28OMu,3jK9MiCrA42lLAdMGUZpwa","Twin Flame","Twin Flame","KAYTRANADA,Anderson .Paak",2022-08-01,232122,42,spotify:user:,2023-03-24T02:09:25Z,"escape room,lgbtq+ hip hop",0.61,0.709,7,-7.143,1,0.241,0.00707,0.0000161,0.273,0.33,100.489,4
7zxRMhXxJMQCeDDg0rKAVo,"7rkW85dBwwrJtlHRDkJDAC,1Xyo4u8uXC1ZmMpatF05PJ","Some Way","NAV","NAV,The Weeknd",2017-02-24,179773,73,spotify:user:,2023-03-24T02:09:25Z,"canadian hip hop,canadian trap,hip hop,melodic rap,rap,toronto rap,trap,vapor trap,canadian contemporary r&b,canadian pop,pop",0.744,0.715,0,-6.103,1,0.351,0.101,0,0.0919,0.34,154.962,4
5vYn0idAvSminM8fdyTB1U,"5cie6OioF2WHr2KflhcQGT","WOO!","HOOD AVANT-GARDE (Deluxe)","Charmaine",2021-06-25,168426,50,spotify:user:,2023-03-24T02:09:25Z,"trap queen",0.953,0.614,2,-7.328,1,0.0752,0.00717,0.000258,0.0762,0.188,105.019,4
2WN7xpcY4zmcqF57HFEGZY,"0FOWNUFHPnMy0vOw1siGqi,1Xyo4u8uXC1ZmMpatF05PJ,50co4Is1HCEo8bhOyUWKpn","Better Believe (ft The Weeknd)","See You Next Wednesday","Belly,The Weeknd,Young Thug",2021-08-27,206600,53,spotify:user:,2023-03-24T02:09:25Z,"canadian hip hop,canadian trap,pop rap,rap,trap,trap soul,canadian contemporary r&b,canadian pop,pop,atl hip hop,atl trap,gangster rap,hip hop,melodic rap,southern hip hop",0.799,0.569,0,-7.821,1,0.318,0.154,0,0.151,0.417,125.074,4
0TlLq3lA83rQOYtrqBqSct,"3TVXtAsR1Inumwj472S9r4","Nonstop","Scorpion","Drake",2018-06-29,238614,77,spotify:user:,2023-03-24T02:09:25Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap",0.912,0.412,7,-8.074,1,0.123,0.0165,0.0126,0.104,0.423,154.983,4
2XHUkLHYKnkBzV4xppzeOx,"1TlmLsx42aT281z8NWrKef,5ybU1P0ufoGH5CMclUKebd","JUNGLE","BECAUSE WE'RE ALIVE","DillanPonders,Ruby Waters",2020-12-11,154994,41,spotify:user:,2023-03-24T02:09:25Z,"canadian hip hop,canadian trap,underground hip hop",0.769,0.484,0,-10.38,0,0.0569,0.356,0.00475,0.0645,0.635,95.994,4
6NrB2hKwlyVfFY8qhKc8U6,"2jku7tDXc6XoB6MO2hFuqg","Why Did I","Sorry 4 What","Tory Lanez",2022-09-30,145918,55,spotify:user:,2023-03-24T02:09:25Z,"canadian hip hop,canadian trap,melodic rap,pop rap,r&b,rap,toronto rap,trap",0.781,0.502,8,-7.397,1,0.0909,0.0238,0,0.097,0.535,161.042,4
7EV6sb1gDY337fBJNy3obX,"4H9N7llvyhoddyD2oIrXWt,0IbD9X6mgxyaIKT3aqzioT,7C3agcqFXnteDagiWhaZdU","New Harrison","Head Above the Waters","DijahSB,Harrison,Terrell Morris",2021-04-23,230511,38,spotify:user:,2023-03-24T02:09:25Z,"indie hip hop,future funk,toronto indie",0.694,0.484,1,-7.402,1,0.408,0.816,0,0.103,0.314,83.064,4
6TVqffNTpDAlfCtDIKyFbZ,"5zixe6AbgXPqt4c1uSl94L,3OkT1SRceq0PfwGWmTvFab","Marathon","Marathon","Connor Price,4Korners",2021-12-10,136062,63,spotify:user:,2023-03-24T02:09:25Z,"toronto rap",0.855,0.405,0,-10.189,0,0.199,0.0415,0.00000839,0.209,0.522,87.007,4
5GoGjEsPvr0McJQiGGCnws,"0FOWNUFHPnMy0vOw1siGqi","Man Listen","Man Listen","Belly",2017-08-25,183920,56,spotify:user:,2023-03-24T02:09:25Z,"canadian hip hop,canadian trap,pop rap,rap,trap,trap soul",0.771,0.662,2,-6.535,1,0.233,0.0506,0.0343,0.339,0.603,177.916,4
