Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
27N0pJsw7yMwewEEgFdklN,"6q3p11nP1p80Ey6LrOOSed,20qISvAhX20dpIbOOzGK3q","The Tide","SURF OR DROWN","Hit-Boy,Nas",2023-03-24,236730,0,spotify:user:,2023-03-24T04:00:00Z,"cali rap,conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,queens hip hop,rap",0.455,0.704,1,-5.218,1,0.378,0.245,0,0.156,0.325,77.783,4
3MT8ekypV5xYBLstqFpDkV,"4c2ighP1wj8E5dVGJDCOiB,0CKa42Jqrc9fSFbDjePaXP","TURNIN' HEADS","TURNIN' HEADS","Kari Faux,Big K.R.I.T.",2023-03-22,176982,32,spotify:user:,2023-03-24T04:00:00Z,"alternative r&b,arkansas hip hop,escape room,indie r&b,indie soul,multidisciplinary,trap queen,viral rap,alternative hip hop,conscious hip hop,dirty south rap,gangster rap,hip hop,houston rap,mississippi hip hop,pop rap,rap,southern hip hop,trap,underground hip hop",0.782,0.54,1,-8.891,1,0.143,0.385,0,0.172,0.842,142.613,4
2iq4zO451gPlVSWT5PEYVg,"6neEhK0FxJha78nD9giAjW,2RBojylM3CJMcaQzNoXOzB","Respectfully","Respectfully","Mike Shabb,Nicholas Craven",2023-03-17,162978,38,spotify:user:,2023-03-24T04:00:00Z,"canadian hip hop,hip hop quebecois,rap montrealais,alternative hip hop,boom bap,underground hip hop",0.538,0.491,11,-9.241,1,0.0926,0.426,0.000627,0.116,0.479,135.883,4
6TMwCGsTOlt796wpmiFIt7,"1grN0519h2zYqpRtYbDZAl,0eVyjRhzZKke2KFYTcDkeu,0c173mlxpT3dSFRgMO8XPh","Palisades, CA","Palisades, CA","Larry June,The Alchemist,Big Sean",2023-03-22,192226,43,spotify:user:,2023-03-24T04:00:00Z,"cali rap,hip hop,alternative hip hop,rap,west coast rap,detroit hip hop,pop,pop rap,r&b,southern hip hop,trap",0.726,0.746,5,-8.74,0,0.283,0.0887,0.000558,0.382,0.692,129.99,4
60nAGisfgCfnggF6PxKMej,"1Z8ODXyhEBi3WynYw0Rya6","Me Myself and I","3 Feet High and Rising","De La Soul",1989-03-03,229312,53,spotify:user:,2023-03-24T04:00:00Z,"alternative hip hop,east coast hip hop,gangster rap,golden age hip hop,hardcore hip hop,hip hop,jazz rap,rap",0.889,0.966,2,-4.702,0,0.113,0.165,0.00000228,0.649,0.811,114.61,4
0PV1TFUMTBrDETzW6KQulB,"5Rzqmz1zAszembFHGZQuAt","93 'Til Infinity","93 'til Infinity","Souls Of Mischief",1993-02-13,286440,70,spotify:user:,2023-03-24T04:00:00Z,"alternative hip hop,hardcore hip hop,hip hop,jazz rap",0.59,0.672,1,-11.792,1,0.412,0.125,0.00000104,0.147,0.688,206.247,4
23w7p4AuDtw9CrhFBcMat5,"1iNqsUDUraNWrj00bqssQG,6l3HvQ5sa6mXTsMTB19rO5","Adonis Interlude (The Montage) (with J. Cole)","Creed III: The Soundtrack","Dreamville,J. Cole",2023-03-03,95902,70,spotify:user:,2023-03-24T04:00:00Z,"hip hop,rap,conscious hip hop,north carolina hip hop",0.474,0.83,1,-5.288,1,0.438,0.168,0,0.0947,0.431,195.799,4
4s9jU8Krr0ICOhOF7JoBGX,"1FvjvACFvko2Z91IvDljrx,1CRTa2b81vACLSOWujVMbk","The Truth","The Truth","Mick Jenkins,Deep Thought",2023-03-24,180000,0,spotify:user:,2023-03-24T04:00:00Z,"alternative hip hop,chicago rap,conscious hip hop,drill,hip hop,rap,underground hip hop",0.411,0.572,7,-10.77,1,0.374,0.0657,0.00644,0.373,0.298,101.35,4
3ABG1UQTk0eLYUAeWkmfMi,"50NoVNy9GU1lCrDV8iGpyu","Shimmy Shimmy Ya","Return to the 36 Chambers: The Dirty Version","Ol' Dirty Bastard",1995,161400,67,spotify:user:,2023-03-24T04:00:00Z,"alternative hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,rap",0.814,0.481,0,-5.183,1,0.245,0.097,0.0000383,0.0495,0.193,96.252,4
4hOq0WCZgv1I3okksD4bag,"1Z8ODXyhEBi3WynYw0Rya6,2iclO3rlyF0YVNE46ctYRj,3ZotbHeyVQKxQCPDJuQ4SU","Buddy - Single Mix","Buddy","De La Soul,Jungle Brothers,Q-Tip",2023-03-17,272035,47,spotify:user:,2023-03-24T04:00:00Z,"alternative hip hop,east coast hip hop,gangster rap,golden age hip hop,hardcore hip hop,hip hop,jazz rap,rap,hip house,old school hip hop,turntablism,neo soul,queens hip hop",0.879,0.703,10,-6.958,0,0.317,0.709,0.00133,0.196,0.661,99.282,4
4Hq1q82uvzNxUYmgBOxPco,"4LLpKhyESsyAXpc4laK94U","Nikes on My Feet","Nikes on My Feet","Mac Miller",2010-06-01,164411,60,spotify:user:,2023-03-24T04:00:00Z,"hip hop,pittsburgh rap,rap",0.823,0.438,9,-8.728,0,0.279,0.537,0,0.105,0.59,92.047,4
