Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3Eax1yebRxj6LSYpxE9Yd3,"7ltDVBr6mKbRvohxheJ9h1,1mcTU81TzQhprhouKaTkpq","VAMPIROS","RR","ROSALÍA,Rauw Alejandro",2023-03-24,176590,0,spotify:user:,2023-03-24T04:00:00Z,"r&b en espanol,puerto rican pop,trap latino,urbano latino",0.766,0.684,9,-4.281,0,0.0514,0.135,0.0199,0.0832,0.474,102.045,4
3eqCJfgJJs8iKx49KO12s3,"2LRoIwlKmHjgvigdNGBHNo","REMIX EXCLUSIVO","REMIX EXCLUSIVO","Feid",2023-03-17,206946,79,spotify:user:,2023-03-24T04:00:00Z,"colombian pop,pop reggaeton,reggaeton colombiano,urbano latino",0.651,0.557,5,-5.466,0,0.204,0.0358,0,0.154,0.711,87.063,4
0DWdj2oZMBFSzRsi2Cvfzf,"790FomKkXshlbRYZFtlgla,0EmeFodog0BfCgMzAIvKQp","TQG","MAÑANA SERÁ BONITO","KAROL G,Shakira",2023-02-24,197933,96,spotify:user:,2023-03-24T04:00:00Z,"reggaeton,reggaeton colombiano,urbano latino,colombian pop,dance pop,latin pop",0.72,0.63,4,-3.547,0,0.277,0.673,0,0.0936,0.607,179.974,4
54ELExv56KCAB4UP9cOCzC,"12vb80Km0Ew53ABfJOepVz,4q3ewBCX7sLwd24euuV69X","Gato de Noche","Gato de Noche","Ñengo Flow,Bad Bunny",2022-12-22,227013,89,spotify:user:,2023-03-24T04:00:00Z,"latin hip hop,reggaeton,reggaeton flow,trap latino,urbano latino",0.892,0.662,8,-3.894,1,0.162,0.169,0.00000124,0.363,0.607,93.976,4
1mW1e6QAGPnhMbJoDTCLS3,"1r4hJ1h58CWwUQe3MxPuau,2R21vXR83lH98kGeO99Y66","Diablo, Qué Chimba","Diablo, Qué Chimba","Maluma,Anuel AA",2023-03-23,232222,0,spotify:user:,2023-03-24T04:00:00Z,"reggaeton,reggaeton colombiano,urbano latino,reggaeton flow,trap boricua,trap latino",0.885,0.698,7,-3.338,1,0.0664,0.26,0.000114,0.0528,0.505,108.032,4
2oiixB9QMIzhWaHGVlQx4g,"0eHQ9o50hj6ZDNBt6Ys1sD,2LRoIwlKmHjgvigdNGBHNo","Yandel 150","Yandel 150","Yandel,Feid",2022-12-20,216148,91,spotify:user:,2023-03-24T04:00:00Z,"latin hip hop,reggaeton,urbano latino,colombian pop,pop reggaeton,reggaeton colombiano",0.783,0.729,6,-3.549,0,0.0691,0.0492,0.000272,0.1,0.58,167.968,4
79HZAZNnOE97rb2hnI0XQr,"1mcTU81TzQhprhouKaTkpq,1Ts9of7VPZElwPQnqnDSfW,1GKIlPFdcewHtpDVCQ8zmJ","LOKERA","LOKERA","Rauw Alejandro,Lyanno,Brray",2022-07-25,197101,82,spotify:user:,2023-03-24T04:00:00Z,"puerto rican pop,trap latino,urbano latino,reggaeton,reggaeton flow,trap boricua,urbano mexicano",0.834,0.828,11,-2.657,0,0.0452,0.21,0.00000591,0.103,0.58,102.019,4
1zsPaEkglFvxjAhrM8yhpr,"1i8SpTcr7yvPOmcqrbnVXY,2LRoIwlKmHjgvigdNGBHNo","Hey Mor","OzuTochi","Ozuna,Feid",2022-10-07,196600,90,spotify:user:,2023-03-24T04:00:00Z,"puerto rican pop,reggaeton,trap latino,urbano latino,colombian pop,pop reggaeton,reggaeton colombiano",0.901,0.589,1,-6.713,0,0.289,0.00302,0.000237,0.0992,0.399,98.002,4
6OzUIp8KjuwxJnCWkXp1uL,"1wZtkThiXbVNtj6hee6dz9,7ltDVBr6mKbRvohxheJ9h1","Besos Moja2","La Última Misión","Wisin & Yandel,ROSALÍA",2022-12-01,229064,86,spotify:user:,2023-03-24T04:00:00Z,"electro latino,latin hip hop,reggaeton,urbano latino,r&b en espanol",0.736,0.727,5,-4.642,0,0.0571,0.0584,0.00000191,0.0976,0.644,94.048,4
6jhB0WW148mVOX7VuV2ga0,"7iK8PXO48WeuP03g8YR51W","AGUARDIENTE","AGUARDIENTE","Myke Towers",2023-03-09,167175,77,spotify:user:,2023-03-24T04:00:00Z,"reggaeton,trap latino,urbano latino",0.865,0.785,4,-4.132,0,0.12,0.0465,0.00000351,0.11,0.36,92.027,4
