Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4bycD60yZgR6anIBtmU8UH,"790FomKkXshlbRYZFtlgla,0XK6kT7xcZAlcYrNjOgzJe","MAÑANA SERÁ BONITO","MAÑANA SERÁ BONITO","KAROL G,Carla Morrison",2023-02-24,210986,81,spotify:user:,2023-03-10T05:01:00Z,"reggaeton,reggaeton colombiano,urbano latino,mexican pop",0.777,0.715,8,-4.569,0,0.0874,0.455,0.000035,0.326,0.245,92.006,4
3LWay44eeYFEh27Gf1UA7J,"2pbO2XyPJGWz2s0OZeD4pR","Nunca Tristes (Me Vale Madre)","Nunca Tristes (Me Vale Madre)","RENEE",2022-11-23,204826,77,spotify:user:,2023-03-10T05:01:00Z,"urbano mexicano",0.726,0.544,2,-4.44,1,0.229,0.44,0.0000356,0.124,0.613,178.117,4
0Dl34Kegtc0y0m0oPhQfiI,"1DxLCyH42yaHKGK3cl5bvG","LA NENA DE ARGENTINA","LA NENA DE ARGENTINA","Maria Becerra",2022-12-08,151988,77,spotify:user:,2023-03-10T05:01:00Z,"pop argentino",0.531,0.58,5,-4.688,0,0.188,0.0984,0.000201,0.101,0.887,169.865,4
4yPmTUkWmUfLPQLCccp0DR,"7vXDAI8JwjW531ouMGbfcp,60XHOAhvEBiV6BGBOv8ClM,77AiFEVeAVj2ORpC85QVJs","Muñecas","Cupido","TINI,La Joaqui,Steve Aoki",2023-02-16,156318,75,spotify:user:,2023-03-10T05:01:00Z,"latin pop,pop argentino,argentine hip hop,rap latina,dance pop,edm,electro house,pop dance,pop rap,tropical house",0.688,0.712,10,-4.791,0,0.0826,0.0288,0,0.313,0.852,89.93,4
5lkgHMBFyhk6P3jinwsYo0,"0AqlFI0tz2DsEoJlKSIiT9","La Chain","La Chain","Emilia",2022-08-16,139518,62,spotify:user:,2023-03-10T05:01:00Z,"pop argentino",0.841,0.616,6,-4.451,0,0.0989,0.203,0,0.0785,0.792,98.181,4
5w3AsUEGoaCuBhDp14umuy,"3Z3OTfxYdBnJKMXFbRjmU2,4boI7bJtmB1L3b1cuL75Zr","Canción Sin Miedo","Canción Sin Miedo","Vivir Quintana,Mon Laferte",2020-10-13,213013,59,spotify:user:,2023-03-10T05:01:00Z,"nuevo folklore mexicano,latin alternative",0.738,0.539,1,-6.168,0,0.0439,0.272,0,0.147,0.408,110.797,3
5ETecrJ4HK8qglSLq382hG,"2UZIAOlrnyZmyzt1nuXr9y","Nobody Like Yo","Nobody Like Yo","Nicki Nicole",2022-09-01,154666,60,spotify:user:,2023-03-10T05:01:00Z,"argentine hip hop,r&b argentino,trap argentino",0.853,0.649,7,-5.234,0,0.043,0.406,0.000144,0.23,0.815,134.867,4
0DWdj2oZMBFSzRsi2Cvfzf,"790FomKkXshlbRYZFtlgla,0EmeFodog0BfCgMzAIvKQp","TQG","MAÑANA SERÁ BONITO","KAROL G,Shakira",2023-02-24,197933,96,spotify:user:,2023-03-10T05:01:00Z,"reggaeton,reggaeton colombiano,urbano latino,colombian pop,dance pop,latin pop",0.72,0.63,4,-3.547,0,0.277,0.673,0,0.0936,0.607,179.974,4
2uTYCakF1KpklYwHgoJFd4,"3VCrybIJKH7UurbDcZbMmn","ANASTASIA","ANASTASIA","Cami",2022-07-21,153703,43,spotify:user:,2023-03-10T05:01:00Z,"latin pop,pop chileno",0.393,0.457,9,-7.961,0,0.0913,0.608,0,0.0848,0.457,160.649,3
4hceSKjrkDTO0nMKFcb3sj,"716NhGYqD1jl2wI1Qkgq36,1pi7nGhOM7PTHR5YEgXVGq","Villano Antillano: Bzrp Music Sessions, Vol. 51","Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap,Villano Antillano",2022-06-08,187500,78,spotify:user:,2023-03-10T05:01:00Z,"argentine hip hop,pop venezolano,trap argentino,trap latino,urbano latino,rap boricua",0.82,0.752,1,-7.635,0,0.0648,0.0584,0.00417,0.628,0.423,127.999,4
47okf9FXUNLHknAwoMI1L4,"0zO8yNnw5GQgutcIyXfGBY","Picachu","Picachu","ELENA ROSE",2021-06-25,167290,41,spotify:user:,2023-03-10T05:01:00Z,"r&b en espanol",0.543,0.722,1,-4.43,1,0.176,0.132,0.0000389,0.379,0.405,167.904,4
33gFV76PlZtTunQCaqYIJH,"42LEQxfXLEuzdqorKBbUVN,5AS4y4rlmbUYDCdg35qmI9","dale Play","dale Play","RaiNao,paopao",2023-02-02,226946,51,spotify:user:,2023-03-10T05:01:00Z,"rap boricua,urbano latino",0.733,0.716,3,-4.274,0,0.118,0.436,0.000563,0.105,0.567,95.004,4
1OOiw7ttMNKjp8BTeH2QaV,"4obzFoKoKRHIphyHzJ35G3","DOLORES","ESQUEMAS","Becky G",2022-05-13,199280,44,spotify:user:,2023-03-10T05:01:00Z,"dance pop,latin pop,latin viral pop,pop,rap latina,reggaeton",0.708,0.646,7,-5.679,1,0.195,0.084,0,0.126,0.512,130.193,4
13FHy6nHjXHbzHj1dZFB1G,"3qsKSpcV3ncke3hw52JSMB","Riri","TRAP KITTY","Young Miko",2022-07-22,134000,76,spotify:user:,2023-03-10T05:01:00Z,"trap latino,urbano latino",0.827,0.544,11,-7.225,1,0.158,0.308,0,0.438,0.728,164.999,4
4HRoZdP8v2lXXotGF0KaGx,"7DgpPXntG6DkNR4hCi4PjP,1pi7nGhOM7PTHR5YEgXVGq,7mXfsy3lF4kU0f2KTNKSr8","ACTIVA","ACTIVA","Chesca,Villano Antillano,Corina Smith",2022-10-13,261527,48,spotify:user:,2023-03-10T05:01:00Z,"dominican pop,urbano latino,rap boricua,pop reggaeton,pop venezolano,trap latino",0.843,0.775,0,-5.012,1,0.0561,0.239,0.0027,0.308,0.72,90.024,4
7kYbxvrGXv8cmKjkqgqhrw,"7vXDAI8JwjW531ouMGbfcp","La Triple T","La Triple T","TINI",2022-05-05,167674,77,spotify:user:,2023-03-10T05:01:00Z,"latin pop,pop argentino",0.801,0.633,11,-2.785,0,0.0777,0.414,0,0.27,0.676,92.025,4
5lR23GryHOflIeSkJ0zGnW,"2UZIAOlrnyZmyzt1nuXr9y","NO voy a llorar :')","NO voy a llorar :')","Nicki Nicole",2023-03-09,178874,71,spotify:user:,2023-03-10T05:01:00Z,"argentine hip hop,r&b argentino,trap argentino",0.747,0.396,5,-7.975,0,0.0571,0.769,0.00000521,0.136,0.381,93.393,4
4nrPB8O7Y7wsOCJdgXkthe,"716NhGYqD1jl2wI1Qkgq36,0EmeFodog0BfCgMzAIvKQp","Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53","Bizarrap,Shakira",2023-01-11,214945,96,spotify:user:,2023-03-10T05:01:00Z,"argentine hip hop,pop venezolano,trap argentino,trap latino,urbano latino,colombian pop,dance pop,latin pop",0.778,0.632,2,-5.6,0,0.0493,0.274,0,0.0915,0.498,122.104,4
5YZ6ThqD1WBi9g0YSlLsfW,"5AS4y4rlmbUYDCdg35qmI9","algo así","diamantes y espinas","paopao",2022-08-02,213920,44,spotify:user:,2023-03-10T05:01:00Z,"urbano latino",0.48,0.448,9,-7.435,1,0.194,0.462,0,0.0947,0.43,87.998,4
1ri9ZUkBJVFUdgwzCnfcYs,"4obzFoKoKRHIphyHzJ35G3,790FomKkXshlbRYZFtlgla","MAMIII","MAMIII","Becky G,KAROL G",2022-02-10,226088,80,spotify:user:,2023-03-10T05:01:00Z,"dance pop,latin pop,latin viral pop,pop,rap latina,reggaeton,reggaeton colombiano,urbano latino",0.843,0.7,4,-3.563,0,0.0803,0.0934,0,0.14,0.899,93.991,4
4CD623yLJVvKJxUyzaTqtC,"7ltDVBr6mKbRvohxheJ9h1,4kYSro6naA4h99UJvo89HB","DESPECHÁ RMX","DESPECHÁ RMX","ROSALÍA,Cardi B",2022-12-16,170827,74,spotify:user:,2023-03-10T05:01:00Z,"r&b en espanol,dance pop,pop,rap,viral rap",0.954,0.582,9,-5.744,0,0.0727,0.235,0.00000126,0.0572,0.884,130.008,4
1kGhjFgl6A68ZAYvtw2UDK,"1l7ZsJRRS8wlW3WfJfPfNS,4obzFoKoKRHIphyHzJ35G3,2UZIAOlrnyZmyzt1nuXr9y,3VHAySZQPlfGlNLslzXYpN","Pa Mis Muchachas (feat. Nathy Peluso)","Pa Mis Muchachas (feat. Nathy Peluso)","Christina Aguilera,Becky G,Nicki Nicole,NATHY PELUSO",2021-10-22,216737,57,spotify:user:,2023-03-10T05:01:00Z,"dance pop,pop,post-teen pop,latin pop,latin viral pop,rap latina,reggaeton,argentine hip hop,r&b argentino,trap argentino,r&b en espanol",0.867,0.7,9,-3.801,0,0.0862,0.187,0.00000595,0.177,0.495,117.982,4
3IAfUEeaXRX9s9UdKOJrFI,"7FNnA9vBm6EKceENgCGRMb","Envolver","Envolver","Anitta",2021-11-11,193805,76,spotify:user:,2023-03-10T05:01:00Z,"funk pop,funk rj,pagode baiano,pop nacional",0.812,0.736,4,-5.421,0,0.0833,0.152,0.00254,0.0914,0.396,91.993,4
1aRcazIFzvRrybZXVdFT1M,"23wEWD21D4TPYiJugoXmYb","Psycho B**ch","Psycho B**ch","Thalia",2022-11-04,167360,56,spotify:user:,2023-03-10T05:01:00Z,"dance pop,latin pop,mexican pop",0.868,0.795,11,-4.035,0,0.105,0.00988,0.00000279,0.296,0.925,109.994,4
7rLozI09IOepDfaF5umbK8,"0XK6kT7xcZAlcYrNjOgzJe","Ansiedad","El Renacimiento","Carla Morrison",2022-04-29,226595,52,spotify:user:,2023-03-10T05:01:00Z,"mexican pop",0.692,0.534,1,-6.099,1,0.0479,0.427,0.000468,0.11,0.145,99.967,4
7dSZ6zGTQx66c2GF91xCrb,"790FomKkXshlbRYZFtlgla","PROVENZA","PROVENZA","KAROL G",2022-04-22,210200,85,spotify:user:,2023-03-10T05:01:00Z,"reggaeton,reggaeton colombiano,urbano latino",0.87,0.516,1,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005,4
1ZGTVVXlL3FkaTGyNQey2P,"2QWIScpFDNxmS6ZEMIUvgm","Caminar Sola","Caminar Sola","Julieta Venegas",2022-06-03,198173,42,spotify:user:,2023-03-10T05:01:00Z,"latin alternative,latin pop,latin rock,rock en espanol",0.655,0.636,0,-5.984,1,0.14,0.108,0.00000598,0.274,0.694,79.458,4
2DB4DdfCFMw1iaR6JaR03a,"4nDoRrQiYLoBzwC5BhVJzF,6eUKZXaKkcviH0Ku9w2n3V","Bam Bam (feat. Ed Sheeran)","Familia","Camila Cabello,Ed Sheeran",2022-04-07,206070,77,spotify:user:,2023-03-10T05:01:00Z,"dance pop,pop,post-teen pop,uk pop",0.756,0.697,8,-6.377,1,0.0401,0.182,0,0.333,0.956,94.996,4
2D9itdl85AQVNpTfrxvUGj,"5xSx2FM8mQnrfgM1QsHniB","Mala Fama","SIE7E +","Danna Paola",2020-02-07,182600,70,spotify:user:,2023-03-10T05:01:00Z,"dance pop,latin pop,latin viral pop,mexican pop,pop,urbano mexicano",0.765,0.574,6,-4.36,0,0.0926,0.182,0.0000104,0.0567,0.815,176.001,4
4DZYmpPrr6agOFB1qQSJ8I,"6BeO1KuAWBqFriL1mLHtNc","Bachatica","Bachatica","Leslie Grace",2021-09-30,196461,50,spotify:user:,2023-03-10T05:01:00Z,"bachata,hollywood,show tunes",0.742,0.622,2,-5.556,1,0.0416,0.573,0.00000259,0.0816,0.532,123.917,4
1ahCrpeTt94LL7y1aXw0Y8,"2p4aN0Uxkk3iT3HK0cJ2cJ,7ltDVBr6mKbRvohxheJ9h1","Linda","Linda","Tokischa,ROSALÍA",2021-09-01,144018,69,spotify:user:,2023-03-10T05:01:00Z,"dominican pop,rap latina,trap dominicano,r&b en espanol",0.891,0.751,2,-3.15,1,0.124,0.0685,0.000598,0.19,0.711,115.046,4
78wyf1JZmuzIoX0cqtTvCd,"3VHAySZQPlfGlNLslzXYpN","BUSINESS WOMAN","Calambre","NATHY PELUSO",2020-10-02,227257,53,spotify:user:,2023-03-10T05:01:00Z,"r&b en espanol,rap latina",0.653,0.69,5,-5.292,0,0.246,0.0771,0.0000011,0.0691,0.755,165.942,4
