Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1gYtMKmICjH8KQG3MheNJt,"7vXDAI8JwjW531ouMGbfcp,5Y3MV9DZ0d87NnVm56qSY1","El Último Beso","El Último Beso","TINI,Tiago PZK",2022-09-15,197647,69,spotify:user:,2023-03-07T17:44:35Z,"latin pop,pop argentino,trap argentino,urbano latino",0.647,0.662,10,-2.955,1,0.125,0.305,0,0.359,0.693,113.28,5
0Yc0ziTsyjahYqlWXVXlTU,"4obzFoKoKRHIphyHzJ35G3","BAILÉ CON MI EX","BAILÉ CON MI EX","Becky G",2022-05-10,161880,64,spotify:user:,2023-03-07T17:44:35Z,"dance pop,latin pop,latin viral pop,pop,rap latina,reggaeton",0.761,0.784,4,-4.977,1,0.133,0.15,0,0.125,0.691,114.93,4
3Ne5uYDFzHEFYAPbaBMIck,"1DxLCyH42yaHKGK3cl5bvG","AUTOMÁTICO","AUTOMÁTICO","Maria Becerra",2022-09-08,175317,74,spotify:user:,2023-03-07T17:44:35Z,"pop argentino",0.68,0.808,10,-3.854,0,0.224,0.0911,0.00000223,0.205,0.868,176.131,4
1uK5rDY3BnikyG0sl3tPpc,"0haZhu4fFKt0Ag94kZDiz2,1DxLCyH42yaHKGK3cl5bvG","Marte","Mal De Amores","Sofía Reyes,Maria Becerra",2022-02-10,218800,70,spotify:user:,2023-03-07T17:44:35Z,"dance pop,latin pop,mexican pop,urbano mexicano,pop argentino",0.704,0.604,5,-5.254,1,0.0556,0.067,0,0.126,0.642,90.028,4
7dMTCS9BLzBqYTlAuHP8TM,"5xSx2FM8mQnrfgM1QsHniB","XT4S1S","XT4S1S","Danna Paola",2022-08-12,219320,76,spotify:user:,2023-03-07T17:44:35Z,"dance pop,latin pop,latin viral pop,mexican pop,pop,urbano mexicano",0.797,0.677,9,-4.163,0,0.0857,0.101,0,0.441,0.919,130.034,4
2X8AGLwb9F0JzJ9zT27a22,"0tmwSHipWxN12fsoLcFU3B,1DxLCyH42yaHKGK3cl5bvG","Éxtasis","Éxtasis","Manuel Turizo,Maria Becerra",2022-10-27,191606,75,spotify:user:,2023-03-07T17:44:35Z,"colombian pop,latin pop,reggaeton,reggaeton colombiano,urbano latino,pop argentino",0.829,0.747,7,-3.511,1,0.149,0.276,0,0.339,0.576,98.03,4
6G12ZafqofSq7YtrMqUm76,"0EmeFodog0BfCgMzAIvKQp,1i8SpTcr7yvPOmcqrbnVXY","Monotonía","Monotonía","Shakira,Ozuna",2022-10-19,158804,87,spotify:user:,2023-03-07T17:44:35Z,"colombian pop,dance pop,latin pop,puerto rican pop,reggaeton,trap latino,urbano latino",0.873,0.695,0,-4.207,0,0.0459,0.419,0.00000123,0.211,0.823,131.963,4
3IAfUEeaXRX9s9UdKOJrFI,"7FNnA9vBm6EKceENgCGRMb","Envolver","Envolver","Anitta",2021-11-11,193805,76,spotify:user:,2023-03-07T17:44:35Z,"funk pop,funk rj,pagode baiano,pop nacional",0.812,0.736,4,-5.421,0,0.0833,0.152,0.00254,0.0914,0.396,91.993,4
3AbNNvo2OmyeDMvRBgf9vk,"7vXDAI8JwjW531ouMGbfcp,4obzFoKoKRHIphyHzJ35G3,7FNnA9vBm6EKceENgCGRMb","La Loto","La Loto","TINI,Becky G,Anitta",2022-07-06,190666,71,spotify:user:,2023-03-07T17:44:35Z,"latin pop,pop argentino,dance pop,latin viral pop,pop,rap latina,reggaeton,funk pop,funk rj,pagode baiano,pop nacional",0.855,0.83,1,-2.815,1,0.106,0.0783,0.00000131,0.08,0.775,90.009,4
4v7riPZWyAclrOfUSwD0zp,"28gNT5KBp7IjEOQoevXf9N","Aeropuerto","De Adentro Pa Afuera","Camilo",2022-09-06,177626,69,spotify:user:,2023-03-07T17:44:35Z,"colombian pop,latin pop,reggaeton colombiano",0.69,0.58,0,-4.395,1,0.199,0.0328,0,0.328,0.708,197.635,4
