Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1ri9ZUkBJVFUdgwzCnfcYs,"4obzFoKoKRHIphyHzJ35G3,790FomKkXshlbRYZFtlgla","MAMIII","MAMIII","Becky G,KAROL G",2022-02-10,226088,80,spotify:user:,2023-01-09T06:30:06Z,"dance pop,latin pop,latin viral pop,pop,rap latina,reggaeton,reggaeton colombiano,urbano latino",0.843,0.7,4,-3.563,0,0.0803,0.0934,0,0.14,0.899,93.991,4
3IAfUEeaXRX9s9UdKOJrFI,"7FNnA9vBm6EKceENgCGRMb","Envolver","Envolver","Anitta",2021-11-11,193805,76,spotify:user:,2023-01-09T06:30:06Z,"funk pop,funk rj,pagode baiano,pop nacional",0.812,0.736,4,-5.421,0,0.0833,0.152,0.00254,0.0914,0.396,91.993,4
079Ey5uxL04AKPQgVQwx5h,"0C8ZW7ezQVs4URX5aX7Kqx,1mcTU81TzQhprhouKaTkpq","Baila Conmigo (with Rauw Alejandro)","Revelación - EP","Selena Gomez,Rauw Alejandro",2021-03-12,186087,72,spotify:user:,2023-01-09T06:30:06Z,"dance pop,pop,post-teen pop,puerto rican pop,trap latino,urbano latino",0.823,0.544,5,-7.132,1,0.0715,0.0215,0.00315,0.0966,0.664,149.903,4
5ildQOEKmJuWGl2vRkFdYc,"7ltDVBr6mKbRvohxheJ9h1","DESPECHÁ","DESPECHÁ","ROSALÍA",2022-07-28,157017,84,spotify:user:,2023-01-09T06:30:06Z,"r&b en espanol",0.919,0.623,7,-6.521,1,0.0992,0.184,0.0000163,0.0609,0.775,130.037,4
7dSZ6zGTQx66c2GF91xCrb,"790FomKkXshlbRYZFtlgla","PROVENZA","PROVENZA","KAROL G",2022-04-22,210200,85,spotify:user:,2023-01-09T06:30:06Z,"reggaeton,reggaeton colombiano,urbano latino",0.87,0.516,1,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005,4
13xVmEV4G5jh8zDIFTZeIy,"13or1Wf6ipcvSIiurZATvw,5mYiZzPWHHMmGZ4Pl311pu","Mil Horas","Greatest Cumbia Classics Of Colombia, Vol. 2","La Sonora Dinamita,Alvaro Pava",2015-07-01,226600,45,spotify:user:,2023-01-09T06:30:06Z,"cumbia,ranchera,salsa colombiana,tropical",0.737,0.688,3,-9.032,1,0.0388,0.111,0.00265,0.0851,0.826,100.995,4
2XIc1pqjXV3Cr2BQUGNBck,"4q3ewBCX7sLwd24euuV69X,7ltDVBr6mKbRvohxheJ9h1","LA NOCHE DE ANOCHE","EL ÚLTIMO TOUR DEL MUNDO","Bad Bunny,ROSALÍA",2020-11-27,203200,79,spotify:user:,2023-01-09T06:30:06Z,"reggaeton,trap latino,urbano latino,r&b en espanol",0.856,0.618,7,-4.892,1,0.286,0.0303,0,0.0866,0.391,81.993,4
0bI7K9Becu2dtXK1Q3cZNB,"2o5jDhtHVPhrJdv3cEQ99Z,790FomKkXshlbRYZFtlgla","Don't Be Shy","Don't Be Shy","Tiësto,KAROL G",2021-08-12,140500,81,spotify:user:,2023-01-09T06:30:06Z,"big room,brostep,dance pop,dutch edm,edm,house,pop dance,slap house,trance,tropical house,reggaeton,reggaeton colombiano,urbano latino",0.77,0.787,11,-3.748,0,0.0583,0.198,0,0.262,0.513,119.986,4
2GdHCkeAycTJ1RgMlptaRE,"1yxSLGMDHlW21z4YXirZDS,4VMYDCV2IEDYJArk749S6m","BAILAR CONTIGO","BAILAR CONTIGO","Black Eyed Peas,Daddy Yankee",2022-11-09,223352,70,spotify:user:,2023-01-09T06:30:06Z,"dance pop,pop,pop rap,latin hip hop,reggaeton,urbano latino",0.824,0.772,1,-5.234,1,0.0574,0.305,0.387,0.0912,0.508,125.01,4
59L8x0xy8njj75vzVCPMqg,"4obzFoKoKRHIphyHzJ35G3,2oQX8QiMXOyuqbcZEFsZfm","FULANITO","FULANITO","Becky G,El Alfa",2021-06-03,158531,66,spotify:user:,2023-01-09T06:30:06Z,"dance pop,latin pop,latin viral pop,pop,rap latina,reggaeton,dembow,rap dominicano,urbano latino",0.93,0.837,7,-4.632,0,0.187,0.256,0.00000237,0.239,0.821,111.898,4
6w0hTf98ZNQm5GpfWeuoAk,"2DlGxzQSjYe5N6G9nkYghR,1mcTU81TzQhprhouKaTkpq","Cambia el Paso","Cambia el Paso","Jennifer Lopez,Rauw Alejandro",2021-07-05,245755,57,spotify:user:,2023-01-09T06:30:06Z,"dance pop,pop,pop rap,urban contemporary,puerto rican pop,trap latino,urbano latino",0.839,0.784,7,-5.208,0,0.0654,0.0628,0.000159,0.0846,0.54,102.006,4
