Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6jhB0WW148mVOX7VuV2ga0,"7iK8PXO48WeuP03g8YR51W","AGUARDIENTE","AGUARDIENTE","Myke Towers",2023-03-09,167175,77,spotify:user:,2023-03-24T04:00:00Z,"reggaeton,trap latino,urbano latino",0.865,0.785,4,-4.132,0,0.12,0.0465,0.00000351,0.11,0.36,92.027,4
51FvjPEGKq2zByeeEQ43V9,"64KEffDW9EtZ1y2vBYgq8T,0tmwSHipWxN12fsoLcFU3B","El Merengue","El Merengue","Marshmello,Manuel Turizo",2023-03-03,189668,85,spotify:user:,2023-03-24T04:00:00Z,"brostep,dance pop,edm,pop,pop dance,progressive electro house,colombian pop,latin pop,reggaeton,reggaeton colombiano,urbano latino",0.775,0.677,8,-4.703,0,0.0442,0.0313,0.00517,0.112,0.698,124.011,4
0DWdj2oZMBFSzRsi2Cvfzf,"790FomKkXshlbRYZFtlgla,0EmeFodog0BfCgMzAIvKQp","TQG","MAÑANA SERÁ BONITO","KAROL G,Shakira",2023-02-24,197933,96,spotify:user:,2023-03-24T04:00:00Z,"reggaeton,reggaeton colombiano,urbano latino,colombian pop,dance pop,latin pop",0.72,0.63,4,-3.547,0,0.277,0.673,0,0.0936,0.607,179.974,4
6Rpbzk2LC8xWZI93RyodAq,"1i8SpTcr7yvPOmcqrbnVXY,2LRoIwlKmHjgvigdNGBHNo","Hey Mor","Hey Mor","Ozuna,Feid",2022-10-06,196600,82,spotify:user:,2023-03-24T04:00:00Z,"puerto rican pop,reggaeton,trap latino,urbano latino,colombian pop,pop reggaeton,reggaeton colombiano",0.901,0.589,1,-6.713,0,0.289,0.00302,0.000237,0.0992,0.399,98.002,4
609E1JCInJncactoMmkDon,"7ltDVBr6mKbRvohxheJ9h1,1mcTU81TzQhprhouKaTkpq","BESO","RR","ROSALÍA,Rauw Alejandro",2023-03-24,194543,0,spotify:user:,2023-03-24T04:00:00Z,"r&b en espanol,puerto rican pop,trap latino,urbano latino",0.768,0.644,5,-6.671,0,0.136,0.736,0.000837,0.173,0.53,95.05,4
3eqCJfgJJs8iKx49KO12s3,"2LRoIwlKmHjgvigdNGBHNo","REMIX EXCLUSIVO","REMIX EXCLUSIVO","Feid",2023-03-17,206946,79,spotify:user:,2023-03-24T04:00:00Z,"colombian pop,pop reggaeton,reggaeton colombiano,urbano latino",0.651,0.557,5,-5.466,0,0.204,0.0358,0,0.154,0.711,87.063,4
1DxEbt6OSbrkRthk6pjZue,"0niAkxgT6y57bRbT0Ge94z,48R2gYdPKtfnfKAzhSVPUx,0uxYECT7XqHNccQAg5Uhe4","MERCHO","MERCHO","LiL CaKe,Migrantes,Nico Valdi",2022-12-16,161451,89,spotify:user:,2023-03-24T04:00:00Z,"trap argentino,trap triste,cumbia pop",0.838,0.79,6,-1.602,0,0.108,0.431,0.00000333,0.184,0.962,92.927,4
6otePxalBK8AVa20xhZYVQ,"790FomKkXshlbRYZFtlgla","MIENTRAS ME CURO DEL CORA","MAÑANA SERÁ BONITO","KAROL G",2023-02-24,164386,87,spotify:user:,2023-03-24T04:00:00Z,"reggaeton,reggaeton colombiano,urbano latino",0.523,0.477,0,-6.786,1,0.392,0.855,0,0.146,0.57,79.921,4
2oiixB9QMIzhWaHGVlQx4g,"0eHQ9o50hj6ZDNBt6Ys1sD,2LRoIwlKmHjgvigdNGBHNo","Yandel 150","Yandel 150","Yandel,Feid",2022-12-20,216148,91,spotify:user:,2023-03-24T04:00:00Z,"latin hip hop,reggaeton,urbano latino,colombian pop,pop reggaeton,reggaeton colombiano",0.783,0.729,6,-3.549,0,0.0691,0.0492,0.000272,0.1,0.58,167.968,4
5MxFWjuqQIsbNWbMdMdbli,"4SsVbpTthjScTS7U2hmr1X,4q3ewBCX7sLwd24euuV69X","La Jumpa","La Jumpa","Arcángel,Bad Bunny",2022-11-30,255693,87,spotify:user:,2023-03-24T04:00:00Z,"latin hip hop,reggaeton,urbano latino,trap latino",0.713,0.703,8,-5.769,1,0.194,0.298,0,0.321,0.576,123.06,4
3XjvMZqm2AQ8thMCD6w9w2,"2R21vXR83lH98kGeO99Y66,2T1aUibqR2QC2sINIDQOAK,64aJYyrXljOodnUG6jvhRD","Mas Rica Que Ayer","Mas Rica Que Ayer","Anuel AA,Mambo Kingz,DJ Luian",2023-03-02,199148,87,spotify:user:,2023-03-24T04:00:00Z,"reggaeton,reggaeton flow,trap boricua,trap latino,urbano latino,latin hip hop",0.818,0.666,11,-5.319,1,0.0759,0.343,0,0.0922,0.529,93.95,4
2xVcCDRgG3TrH69TatsUxp,"7vXDAI8JwjW531ouMGbfcp","Cupido","Cupido","TINI",2023-02-14,174369,85,spotify:user:,2023-03-24T04:00:00Z,"latin pop,pop argentino",0.913,0.584,9,-5.263,1,0.223,0.521,0.0000536,0.307,0.627,119.873,4
0PB0O24JqAuNdOAFVJljMS,"5XJDexmWFLWOkjOEjOVX3e,4q3ewBCX7sLwd24euuV69X","Coco Chanel","3MEN2 KBRN","Eladio Carrion,Bad Bunny",2023-03-17,208125,83,spotify:user:,2023-03-24T04:00:00Z,"trap boricua,trap latino,trap triste,urbano latino,reggaeton",0.683,0.764,2,-5.995,1,0.0441,0.0427,0,0.0963,0.137,149.949,4
3Zyk5Vd9WNPNVWxvb0EZTk,"790FomKkXshlbRYZFtlgla,5lwmRuXgjX8xIwlnauTZIP","X SI VOLVEMOS","X SI VOLVEMOS","KAROL G,Romeo Santos",2023-02-03,203360,87,spotify:user:,2023-03-24T04:00:00Z,"reggaeton,reggaeton colombiano,urbano latino,bachata",0.793,0.78,1,-4.247,0,0.249,0.341,0,0.111,0.576,178.046,4
7cQ0LAxT5HHCLGbxcjaxac,"716NhGYqD1jl2wI1Qkgq36,4SsVbpTthjScTS7U2hmr1X","Arcángel: Bzrp Music Sessions, Vol. 54","Arcángel: Bzrp Music Sessions, Vol. 54","Bizarrap,Arcángel",2023-03-22,223019,0,spotify:user:,2023-03-24T04:00:00Z,"argentine hip hop,pop venezolano,trap argentino,trap latino,urbano latino,latin hip hop,reggaeton",0.716,0.78,11,-3.495,0,0.297,0.55,0,0.146,0.786,123.856,4
38UYeBLfvpnDSG9GznZdnL,"3AA28KZvwAUcZuOKwyblJQ,4q3ewBCX7sLwd24euuV69X","Tormenta (feat. Bad Bunny)","Cracker Island","Gorillaz,Bad Bunny",2023-02-24,193463,89,spotify:user:,2023-03-24T04:00:00Z,"alternative hip hop,reggaeton,trap latino,urbano latino",0.637,0.768,0,-6.468,1,0.056,0.458,0.00192,0.378,0.297,94.982,4
5ww2BF9slyYgNOk37BlC4u,"0tmwSHipWxN12fsoLcFU3B","La Bachata","La Bachata","Manuel Turizo",2022-05-26,162637,93,spotify:user:,2023-03-24T04:00:00Z,"colombian pop,latin pop,reggaeton,reggaeton colombiano,urbano latino",0.835,0.679,7,-5.329,0,0.0364,0.583,0.00000198,0.218,0.85,124.98,4
55ZATsjPlTeSTNJOuW90pW,"07PdYoE4jVRF6Ut40GgVSP,4yEIQ0lJDgUEfsuYx3Gsmr","Shorty Party","Shorty Party","Cartel De Santa,La Kelly",2023-03-04,265000,88,spotify:user:,2023-03-24T04:00:00Z,"latin hip hop,mexican hip hop",0.928,0.468,2,-8.196,1,0.364,0.328,0.00000427,0.0986,0.47,96.006,4
4nrPB8O7Y7wsOCJdgXkthe,"716NhGYqD1jl2wI1Qkgq36,0EmeFodog0BfCgMzAIvKQp","Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53","Bizarrap,Shakira",2023-01-11,214945,96,spotify:user:,2023-03-24T04:00:00Z,"argentine hip hop,pop venezolano,trap argentino,trap latino,urbano latino,colombian pop,dance pop,latin pop",0.778,0.632,2,-5.6,0,0.0493,0.274,0,0.0915,0.498,122.104,4
0CYTGMBYkwUxrj1MWDLrC5,"2LRoIwlKmHjgvigdNGBHNo","CHORRITO PA LAS ANIMAS","SIXDO","Feid",2022-12-02,168133,90,spotify:user:,2023-03-24T04:00:00Z,"colombian pop,pop reggaeton,reggaeton colombiano,urbano latino",0.743,0.831,8,-4.042,0,0.0584,0.114,0.0000643,0.35,0.609,95.975,4
3gOI5aQD4mOMLsP3aWrkon,"790FomKkXshlbRYZFtlgla","TUS GAFITAS","MAÑANA SERÁ BONITO","KAROL G",2023-02-24,167786,83,spotify:user:,2023-03-24T04:00:00Z,"reggaeton,reggaeton colombiano,urbano latino",0.821,0.696,8,-5.796,0,0.043,0.315,0.0000107,0.157,0.566,122.005,4
6odrHMSLjP3aOXC4ipKUC6,"1NNRWkhwmcXRimFYSBpB1y","La Bebe","LPM","Yng Lvcas",2021-12-24,223992,86,spotify:user:,2023-03-24T04:00:00Z,"urbano latino,urbano mexicano",0.775,0.465,7,-8.365,0,0.365,0.609,0.0000323,0.114,0.707,169.781,4
44FzVABpR2cciquTqADA0D,"3qsKSpcV3ncke3hw52JSMB","Lisa","Lisa","Young Miko",2023-03-03,159306,81,spotify:user:,2023-03-24T04:00:00Z,"trap latino,urbano latino",0.82,0.446,7,-7.553,1,0.213,0.466,0,0.13,0.831,81.01,4
3dnP0JxCgygwQH9Gm7q7nb,"0XeEobZplHxzM9QzFQWLiR,12GqGscKJx3aE4t07u7eVZ","Ella Baila Sola","Ella Baila Sola","Eslabon Armado,Peso Pluma",2023-03-16,165671,85,spotify:user:,2023-03-24T04:00:00Z,"corrido,corridos tumbados,nueva musica mexicana,sad sierreno,sierreno",0.668,0.758,5,-5.176,0,0.0332,0.483,0.0000189,0.0837,0.834,147.989,3
