Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0WtM2NBVQNNJLh6scP13H8,"46pWGuE3dSwY3bMMXGBvVS,0C8ZW7ezQVs4URX5aX7Kqx","Calm Down (with Selena Gomez)","Calm Down (with Selena Gomez)","Rema,Selena Gomez",2022-08-25,239317,94,spotify:user:,2023-03-24T04:22:25Z,"nigerian pop,dance pop,pop,post-teen pop",0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,4
07bsRv0pcpbG4zJeLsUs1p,"6eUKZXaKkcviH0Ku9w2n3V","Eyes Closed","Eyes Closed","Ed Sheeran",2023-03-24,194848,0,spotify:user:,2023-03-24T04:22:25Z,"pop,uk pop",0.777,0.526,2,-6.221,1,0.0645,0.302,0,0.105,0.389,107.071,4
6HKtRka0CohhwAVKlTAAJH,"1G0YV9WooUBjrwDq0Q7EFK","Sex to Me","Phoenix Deluxe","Charlotte Cardin",2021-11-12,216186,44,spotify:user:,2023-03-24T04:22:25Z,"canadian pop,indie quebecois",0.753,0.511,7,-8.936,1,0.0874,0.057,0.0000121,0.0766,0.329,102.042,4
2FLFmCpVrGBTp0C85BaFWL,"3G9XTWY09egHqHlbRcP5cx","DOWN","DOWN","Jay Scøtt",2022-11-25,165851,50,spotify:user:,2023-03-24T04:22:25Z,"hip hop quebecois",0.789,0.333,4,-10.781,1,0.0471,0.739,0,0.0899,0.569,97.002,4
0DWdj2oZMBFSzRsi2Cvfzf,"790FomKkXshlbRYZFtlgla,0EmeFodog0BfCgMzAIvKQp","TQG","MAÑANA SERÁ BONITO","KAROL G,Shakira",2023-02-24,197933,96,spotify:user:,2023-03-24T04:22:25Z,"reggaeton,reggaeton colombiano,urbano latino,colombian pop,dance pop,latin pop",0.72,0.63,4,-3.547,0,0.277,0.673,0,0.0936,0.607,179.974,4
3zkyus0njMCL6phZmNNEeN,"5H4yInM5zmHqpKIoMNAx4r","LET GO","LET GO","Central Cee",2022-12-15,174246,88,spotify:user:,2023-03-24T04:22:25Z,"melodic drill",0.735,0.449,2,-9.933,0,0.383,0.859,0,0.213,0.514,146.016,4
2RMo8LiuGhVaA0j8TlLbpK,"4aLij7W6aqtpsRriCSjGLq,3G9XTWY09egHqHlbRcP5cx","Matusalem","Abri de fortune (pour fin du monde)","Koriass,Jay Scøtt",2022-04-01,222853,49,spotify:user:,2023-03-24T04:22:25Z,"hip hop quebecois",0.856,0.657,7,-6.372,0,0.0641,0.209,0,0.267,0.698,109.967,4
5eTaQYBE1yrActixMAeLcZ,"7CajNmpbOovFoOoasH2HaY,0X2BH1fck6amBIoJhDVmmJ","Miracle (with Ellie Goulding)","Miracle (with Ellie Goulding)","Calvin Harris,Ellie Goulding",2023-03-10,186496,83,spotify:user:,2023-03-24T04:22:25Z,"dance pop,edm,electro house,house,pop,progressive house,uk dance,electropop,indietronica,metropopolis,uk pop",0.636,0.869,9,-5.289,1,0.0412,0.0378,0.0446,0.0808,0.306,143.011,4
3AAY8YicetRPlDAkibHLiS,"5YGY8feqx7naU7z4HrwZM6","Jaded","Endless Summer Vacation","Miley Cyrus",2023-03-10,185933,83,spotify:user:,2023-03-24T04:22:25Z,"pop",0.496,0.593,4,-5.154,1,0.0285,0.0476,0,0.0909,0.177,91.038,4
4Hsywq7qnQVsutWBFf8rPZ,"6vclJnUiJ9D7IW0OP54MFT","3 accords","3 accords","Fredz",2022-02-18,162778,45,spotify:user:,2023-03-24T04:22:25Z,"hip hop quebecois,rap calme",0.875,0.514,1,-8.075,1,0.0815,0.347,0.00000304,0.0803,0.864,118.99,4
5E4jBLx4P0UBji68bBThSw,"2txHhyCwHjUEpJjWrEyqyX","Another Love","Long Way Down (Expanded Edition)","Tom Odell",2013-06-24,244360,64,spotify:user:,2023-03-24T04:22:25Z,"chill pop,pop",0.445,0.537,4,-8.532,0,0.04,0.695,0.000016,0.0944,0.131,122.764,4
3rb0tMq42WfggucPm0HHkA,"0xRXCcSX89eobfrshSVdyu,5344K3N7rx7kw1HjO8psuq,67MNhiAICFY6Pwc2YxCO0K,56Qz2XwGj7FxnNKrfkWjnb","Bad Memories (feat. Elley Duhé & FAST BOY)","Bad Memories (feat. Elley Duhé & FAST BOY)","MEDUZA,James Carter,Elley Duhé,FAST BOY",2022-07-22,148629,84,spotify:user:,2023-03-24T04:22:25Z,"edm,pop,pop dance,pop house,tropical house,covertronica,alt z",0.607,0.767,5,-6.069,0,0.0474,0.118,0,0.122,0.662,123.998,3
079mntueS2KWjxVqOHjG70,"5TvdGhdmRObqOkU6eGfXb5,2uFC1dAj5b0YU7vulKNZ0p","Flowers Need Rain","Flowers Need Rain","Preston Pablo,Banx & Ranx",2022-04-08,168126,69,spotify:user:,2023-03-24T04:22:25Z,"basshall",0.655,0.539,1,-7.596,0,0.08,0.029,0,0.17,0.221,119.914,4
6Qe7YCkIOc1iaw9HKqO3qV,"0GgY7hjMoGDsX8ZDe2mwds","Suavemente","Sans visa","Soolking",2022-05-26,159360,64,spotify:user:,2023-03-24T04:22:25Z,"francoton,french hip hop,pop urbaine,rap algerien,rap tunisien",0.862,0.696,0,-4.519,1,0.0538,0.326,0.00467,0.0418,0.519,140.018,4
35ovElsgyAtQwYPYnZJECg,"5pKCCKE2ajJHZ9KAiaK11H","Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By","Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By)","Rihanna",2022-10-28,196519,83,spotify:user:,2023-03-24T04:22:25Z,"barbadian pop,pop,urban contemporary",0.247,0.299,9,-6.083,1,0.0315,0.899,0,0.131,0.172,177.115,4
6UN73IYd0hZxLi8wFPMQij,"6AMd49uBDJfhf30Ak2QR5s","Players","Players","Coi Leray",2022-11-30,139560,91,spotify:user:,2023-03-24T04:22:25Z,"new jersey underground rap,rap,trap queen,viral rap",0.954,0.516,6,-5.817,1,0.16,0.03,0.00000754,0.0504,0.624,105.001,4
2Gqd3aQoirH3bwRytPhnpC,"5Pd7zqwUqC1INMJAT2Df7b","Pont Champlain","Pont Champlain","Lost",2023-03-17,210296,41,spotify:user:,2023-03-24T04:22:25Z,"hip hop quebecois,rap montrealais",0.829,0.606,2,-7.323,0,0.0464,0.258,0.00275,0.136,0.83,142.059,4
6BePGk3eCan4FqaW2X8Qy3,"2o5jDhtHVPhrJdv3cEQ99Z,45dkTj5sMRSjrmBSBeiHym","10:35","10:35","Tiësto,Tate McRae",2022-11-03,172252,89,spotify:user:,2023-03-24T04:22:25Z,"big room,brostep,dance pop,dutch edm,edm,house,pop dance,slap house,trance,tropical house,pop",0.696,0.793,8,-5.733,1,0.097,0.0683,0.00000378,0.18,0.698,120.003,4
6G1Mz5yMgn0ydOlIvTrZ65,"6mx5dgNlLjrDDMyFsgrW87","Run Away to Mars","Run Away to Mars","TALK",2021-06-23,213753,74,spotify:user:,2023-03-24T04:22:25Z,"",0.554,0.38,9,-10.666,1,0.0314,0.526,0,0.213,0.284,118.925,4
