Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
07bsRv0pcpbG4zJeLsUs1p,"6eUKZXaKkcviH0Ku9w2n3V","Eyes Closed","Eyes Closed","Ed Sheeran",2023-03-24,194848,0,spotify:user:,2023-03-24T04:00:00Z,"pop,uk pop",0.777,0.526,2,-6.221,1,0.0645,0.302,0,0.105,0.389,107.071,4
3AAY8YicetRPlDAkibHLiS,"5YGY8feqx7naU7z4HrwZM6","Jaded","Endless Summer Vacation","Miley Cyrus",2023-03-10,185933,83,spotify:user:,2023-03-24T04:00:00Z,"pop",0.496,0.593,4,-5.154,1,0.0285,0.0476,0,0.0909,0.177,91.038,4
5YbGrhQCpOT4aOTlFgACke,"5p7f24Rk5HkUZsaS3BLG5F","SunKissing","SunKissing","Hailee Steinfeld",2023-03-24,177253,0,spotify:user:,2023-03-24T04:00:00Z,"dance pop,pop,post-teen pop",0.578,0.867,4,-4.317,1,0.0569,0.011,0,0.34,0.548,143.912,4
1SVOLTmC627fn0XY9ltvx2,"6jEiUoyyJNPHzSR0Nib6HX,5JZ7CnR6gTvEMKX4g70Amv","My Stupid Heart (with Lauv)","My Stupid Heart (with Lauv)","Walk Off the Earth,Lauv",2023-03-03,160866,67,spotify:user:,2023-03-24T04:00:00Z,"canadian rock,pop rock,dance pop,electropop,pop",0.745,0.677,7,-8.316,1,0.0334,0.0945,0,0.204,0.666,115.093,4
6maTPqynTmrkWIralgGaoP,"311uEW9rt5g2NmzjGEKS2E","If We Ever Broke Up","If We Ever Broke Up","Mae Stephens",2023-02-10,142758,85,spotify:user:,2023-03-24T04:00:00Z,"",0.898,0.732,7,-3.982,1,0.0427,0.621,0.0000129,0.0908,0.96,115.955,4
0tYtfBFJLVn2ITE66FbaLT,"0X2BH1fck6amBIoJhDVmmJ","By The End Of The Night","By The End Of The Night","Ellie Goulding",2023-03-22,188562,42,spotify:user:,2023-03-24T04:00:00Z,"dance pop,edm,electropop,indietronica,metropopolis,pop,uk pop",0.603,0.816,1,-3.549,0,0.0335,0.0104,0.000057,0.133,0.401,149.934,4
1JUtrCqYzJ80tcAzMbCvir,"3MdXrJWsbVzdn6fe5JYkSQ,5R1cUyk9ysrruOo4ErpGjg","Lottery (feat. LU KALA)","Lottery (feat. LU KALA)","Latto,LU KALA",2023-02-17,186761,74,spotify:user:,2023-03-24T04:00:00Z,"pop,r&b,rap,trap queen",0.792,0.874,1,-2.966,1,0.0852,0.0158,0.000365,0.071,0.934,113.969,4
2Jw3VjB1xy5KHBqEeAC6VK,"2FXC3k01G6Gw61bmprjgqS","Eat Your Young","Eat Your Young","Hozier",2023-03-17,242293,75,spotify:user:,2023-03-24T04:00:00Z,"irish singer-songwriter,pop",0.553,0.587,5,-6.829,1,0.0277,0.345,0.1,0.256,0.346,90.018,4
609E1JCInJncactoMmkDon,"7ltDVBr6mKbRvohxheJ9h1,1mcTU81TzQhprhouKaTkpq","BESO","RR","ROSALÍA,Rauw Alejandro",2023-03-24,194543,0,spotify:user:,2023-03-24T04:00:00Z,"r&b en espanol,puerto rican pop,trap latino,urbano latino",0.768,0.644,5,-6.671,0,0.136,0.736,0.000837,0.173,0.53,95.05,4
6HKtRka0CohhwAVKlTAAJH,"1G0YV9WooUBjrwDq0Q7EFK","Sex to Me","Phoenix Deluxe","Charlotte Cardin",2021-11-12,216186,44,spotify:user:,2023-03-24T04:00:00Z,"canadian pop,indie quebecois",0.753,0.511,7,-8.936,1,0.0874,0.057,0.0000121,0.0766,0.329,102.042,4
5CcfIvFHULvnM0ST4nzRRN,"4GNC7GD6oZMSxPGyXy4MNB","How I'm Feeling Now","How I'm Feeling Now","Lewis Capaldi",2023-03-17,226440,71,spotify:user:,2023-03-24T04:00:00Z,"pop,uk pop",0.684,0.441,0,-3.9,1,0.0273,0.356,0,0.169,0.416,102.885,4
2sITbbWIOeg2Lwp4WN2jqr,"0s4kXsjYeH0S1xRyVGN4NO,2wIVse2owClT7go1WT98tk","Fly Girl (feat. Missy Elliott)","Fly Girl (feat. Missy Elliott)","FLO,Missy Elliott",2023-03-23,205384,0,spotify:user:,2023-03-24T04:00:00Z,"pop,r&b,dance pop,hip hop,hip pop,pop rap,rap,urban contemporary,virginia hip hop",0.698,0.846,8,-3.735,0,0.0981,0.406,0,0.204,0.726,103.968,4
2mPyJgKE7vSpUoFXJps8z3,"6rcE30MaP92XafelMNZ2Sq,7nDsS0l5ZAzMedVRKPP8F1","I Go Dancing (feat. Ella Henderson)","I Go Dancing (feat. Ella Henderson)","Frank Walker,Ella Henderson",2023-01-20,162545,64,spotify:user:,2023-03-24T04:00:00Z,"edm,pop dance,pop edm,tropical house,dance pop,neo mellow,pop,talent show,uk pop",0.571,0.797,3,-3.579,1,0.0513,0.193,0.00000102,0.0752,0.392,109.889,4
4P9Q0GojKVXpRTJCaL3kyy,"06HL4z0CvFAxyc27GXpf02","All Of The Girls You Loved Before","All Of The Girls You Loved Before","Taylor Swift",2019-08-23,221407,84,spotify:user:,2023-03-24T04:00:00Z,"pop",0.718,0.467,2,-9.66,1,0.0398,0.707,0.0000692,0.126,0.396,95.96,3
6VYAzAQGFsfEAwdorQaZuU,"26VFTg2z8YR0cCuwLzESi2","Die 4 Me","Die 4 Me","Halsey",2023-02-24,215021,80,spotify:user:,2023-03-24T04:00:00Z,"dance pop,electropop,etherpop,indie poptimism,pop",0.694,0.743,7,-4.267,0,0.0833,0.355,0,0.275,0.554,145.048,4
