Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0NTMtAO2BV4tnGvw9EgBVq,"5pKCCKE2ajJHZ9KAiaK11H","Bitch Better Have My Money","Bitch Better Have My Money","Rihanna",2015-03-26,219305,82,spotify:user:,2023-03-03T16:07:33Z,"barbadian pop,pop,urban contemporary",0.781,0.728,1,-4.981,1,0.0621,0.0509,0.00000194,0.257,0.395,102.99,4
1058fW9H3fZA6QjYCdOBad,"4nDoRrQiYLoBzwC5BhVJzF","Don't Go Yet","Don't Go Yet","Camila Cabello",2021-07-23,164842,72,spotify:user:,2023-03-03T16:07:33Z,"dance pop,pop,post-teen pop",0.666,0.796,10,-6.967,0,0.103,0.0492,0,0.0442,0.61,110.108,4
0IuVhCflrQPMGRrOyoY5RW,"45dkTj5sMRSjrmBSBeiHym","she's all i wanna be","she's all i wanna be","Tate McRae",2022-02-04,206772,73,spotify:user:,2023-03-03T16:07:33Z,"pop",0.614,0.644,2,-5.372,0,0.0426,0.0134,0.00000707,0.117,0.651,160.036,4
2Oycxb8QbPkpHTo8ZrmG0B,"5YGY8feqx7naU7z4HrwZM6,6M2wZ9GZgrQXHCFfjv46we","Prisoner (feat. Dua Lipa)","Plastic Hearts","Miley Cyrus,Dua Lipa",2020-11-27,169333,81,spotify:user:,2023-03-03T16:07:33Z,"pop,dance pop,uk pop",0.781,0.67,3,-3.912,0,0.0452,0.0103,0,0.0761,0.595,127.99,4
54ipXppHLA8U4yqpOFTUhr,"53XhwfbYqKCa1cC15pYq2q","Bones","Mercury - Acts 1 & 2","Imagine Dragons",2022-07-01,165264,85,spotify:user:,2023-03-03T16:07:33Z,"modern rock,rock",0.772,0.75,5,-3.67,0,0.0455,0.0201,0,0.074,0.587,114.061,4
0z8hI3OPS8ADPWtoCjjLl6,"7n2wHs1TKAczGzO7Dd2rGr,0GM7qgcRCORpGnfcN2tCiB","Summer of Love (Shawn Mendes & Tainy)","Summer Of Love","Shawn Mendes,Tainy",2021-08-20,184104,77,spotify:user:,2023-03-03T16:07:33Z,"canadian pop,dance pop,pop,viral pop,latin hip hop,latin pop,pop reggaeton,reggaeton,reggaeton flow,trap latino,urbano latino",0.776,0.808,11,-4.501,1,0.117,0.0297,0.000127,0.103,0.494,123.988,4
079mntueS2KWjxVqOHjG70,"5TvdGhdmRObqOkU6eGfXb5,2uFC1dAj5b0YU7vulKNZ0p","Flowers Need Rain","Flowers Need Rain","Preston Pablo,Banx & Ranx",2022-04-08,168126,69,spotify:user:,2023-03-03T16:07:33Z,"basshall",0.655,0.539,1,-7.596,0,0.08,0.029,0,0.17,0.221,119.914,4
37BZB0z9T8Xu7U3e65qxFy,"1Xyo4u8uXC1ZmMpatF05PJ,66CXWjxzNUsdJxJ2JdwvnR","Save Your Tears (with Ariana Grande) (Remix)","Save Your Tears (Remix)","The Weeknd,Ariana Grande",2021-04-23,191013,82,spotify:user:,2023-03-03T16:07:33Z,"canadian contemporary r&b,canadian pop,pop,dance pop",0.65,0.825,0,-4.645,1,0.0325,0.0215,0.0000244,0.0936,0.593,118.091,4
0H5fa5efEeedloCGpTvst4,"5NhgsV7qPWHZqYEMKzbYvo","Puppet","Puppet","Faouzia",2021-10-28,175244,51,spotify:user:,2023-03-03T16:07:33Z,"alt z,canadian pop,pop,post-teen pop",0.696,0.816,9,-4.684,0,0.0453,0.016,0,0.0934,0.395,130.074,4
3XAzZZoJeLmIGAGYH7rTBj,"0HxtbrWIbu4N0Y4fnWKkHm,7hHwwhjG9V3HkHZoPsJB5Q,2egizXtrbzmhjs0SgViG8y,2wUjUUtkb5lvLKcGKsKqsR,2dfNhCW7cElnUBvmDvKGGi,6Y2m4AEOS9JFrsK2goyg7T,5gw5ANPCVcxU0maLiGRzzP,0fRvUa31rI1yGB1SUrd9ty,7mX72Bq2iXNr8fZdu23fQL,2sorrBhb2G6fyiu7sHWw6J,6d8NscVVbeMVINZwJDOoN5,10tvYvaoSO32hlvu3NrrPC,4SOtk3HtPYKqxnVuxNBMti,0mzTssRDPIQVH5wSNzOdFZ,3HjHBNeLc1IOdv8BMgFrXj,0H307pF74X7H7kXOmDyYGU,3UROQ34SGxV7h71Z3Gqp8u,76DXtaWMXZQbRZUHkQEdDQ,4JnJjqxsTp8E5rZsyITf63,4uwJ3NRArTb8VlKbuAFyFG,2BDPAOnxUpnVhzI7UCX246,6DdbeAeBlrYj8bNToZv4TY,6aX6KqXgEcARRHwvWxHcFW,6PvScqSJuICxvoA3UDYPmu,62ggJuZV87VvP3sAHM0V3K,66W9LaWS0DPdL7Sz8iYGYe,781516XewTgtGAnpg6dlmd,6C7CCNJVIGEla8AI1LuBxI,0nSstpr48Xb3fVs5AZHOLN,4ExEi8SBEd3QRgwbGw2nHC,5GZK6iJt7jRO73C3zH5sho,0xSfdfhcXN6T8M5gt7VwK0,6nXco5Q3cJJ0ZutnBOsSpq,1BmW7gk5sNUff7U3JEWqxa,0t1nsOJuynoMY8HzUnNDsI,6xsuPHpz2MgwF8OhEc9ScC,7srWOPjLNJJW3N45zOynFb,5TvdGhdmRObqOkU6eGfXb5,1Ss8sy3C3XXQgxYRwjDln8,06vEAqcicwoSBw85e8biJx,7mDU6nMUJnOSY2Hkjz5oqM,4WXIF211lYZfYEn0d13Ac0,5XzZqamJ8lXbLFURXnPesS,4NgNsOXSwIzXlUIJcpnNUp,3jmxkI8Jhv8bHOd2qSiU9j,4LOZt2Vt1xqIWRCVG4v6tV,67KtTWjRTAU9ZkjRFnaffZ,6TMtMBhcyfl7kY8eocOmpo,5lo6XXV9M4PS0g4QP5NVfg,6mx5dgNlLjrDDMyFsgrW87","What I Wouldn't Do/North Star Calling","What I Wouldn't Do/North Star Calling","Feel Out Loud,2Frères,Adria Kain,Alessia Cara,Ashley Sienna,Babygirl,Billy Raffoul,BLUE WILL,Boslen,Bryn,Crash Adams,Dominique Fils-Aimé,Donovan Woods,Fefe Dobson,Gracie Ella,GRAE,Haviah Mighty,Izzy-S,Jade LeMac,Jamie Fine,Jeanick Fournier,JESSIA,Johnny Orlando,JON VINYL,Jonathan Roy,JP Saxe,Jully Black,Katherine Li,Leela Gilday,Lilyisthatyou,LOKRE,LOONY,MacKenzie Porter,Marie-Mai,memyself&vi,NAYA ALI,Nicolina,Preston Pablo,Ralph,Rêve,Roy Woods,Ryland James,Sacha,Sarah McLachlan,Serena Ryder,Shawn Desman,Shawnee Kish,Stereos,Tafari Anthony,TALK",2023-03-02,249949,56,spotify:user:,2023-03-03T16:07:33Z,"pop quebecois,canadian contemporary r&b,canadian pop,dance pop,electropop,pop,post-teen pop,indie pop,bc underground hip hop,canadian hip hop,indie hip hop,trap soul,underground hip hop,indie quebecois,montreal indie,acoustic pop,canadian singer-songwriter,deep new americana,indie folk,indiecoustica,neo mellow,new americana,stomp and holler,candy pop,modern indie pop,canadian trap,toronto rap,hip hop quebecois,rap montrealais,alt z,social media pop,alternative r&b,chill r&b,indie r&b,canadian folk,canadian indigenous,alberta country,canadian contemporary country,canadian country,contemporary country,country pop,auteur-compositeur-interprete quebecois,indie poptimism,metropopolis,pop rap,r&b,trap,ectofolk,lilith,permanent wave,pop rock,canadian indie,ontario indie,toronto indie",0.632,0.514,7,-7.037,1,0.034,0.0645,0.00000975,0.138,0.303,122.023,4
