Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2sITbbWIOeg2Lwp4WN2jqr,"0s4kXsjYeH0S1xRyVGN4NO,2wIVse2owClT7go1WT98tk","Fly Girl (feat. Missy Elliott)","Fly Girl (feat. Missy Elliott)","FLO,Missy Elliott",2023-03-23,205384,0,spotify:user:,2023-03-24T04:00:00Z,"pop,r&b,dance pop,hip hop,hip pop,pop rap,rap,urban contemporary,virginia hip hop",0.698,0.846,8,-3.735,0,0.0981,0.406,0,0.204,0.726,103.968,4
5Yhj7ln3iSqZziEwYNbv6Y,"58hqTaCiqGrMsNmmm3qL7w,2SrSdSvpminqmStGELCSNd","PICK YOUR POISON (feat. Stormzy)","WOAH, WHAT A BLUR!","Bree Runway,Stormzy",2022-12-08,164469,58,spotify:user:,2023-03-24T04:00:00Z,"alternative r&b,dance pop,electropop,escape room,pop,post-teen pop,r&b,grime,uk hip hop",0.504,0.535,8,-6.475,1,0.0643,0.263,0.00000717,0.212,0.243,118.943,3
1JUtrCqYzJ80tcAzMbCvir,"3MdXrJWsbVzdn6fe5JYkSQ,5R1cUyk9ysrruOo4ErpGjg","Lottery (feat. LU KALA)","Lottery (feat. LU KALA)","Latto,LU KALA",2023-02-17,186761,74,spotify:user:,2023-03-24T04:00:00Z,"pop,r&b,rap,trap queen",0.792,0.874,1,-2.966,1,0.0852,0.0158,0.000365,0.071,0.934,113.969,4
4ZYAU4A2YBtlNdqOUtc7T2,"0hCNtLu0JehylgoiP8L4Gh","Red Ruby Da Sleeze","Red Ruby Da Sleeze","Nicki Minaj",2023-03-03,214445,83,spotify:user:,2023-03-24T04:00:00Z,"dance pop,hip pop,pop,queens hip hop,rap",0.696,0.733,1,-6.181,1,0.256,0.115,0,0.111,0.292,98.355,4
13b4mk5KeJxL0GllHLvtXQ,"5y8tKLUfMvliMe8IKamR32","WORTHLESS","WORTHLESS","d4vd",2023-03-09,163049,74,spotify:user:,2023-03-24T04:00:00Z,"bedroom pop",0.643,0.807,4,-4.9,0,0.0584,0.0683,0,0.119,0.153,124.593,4
7iLmh60QhnumkevZlMVbp3,"6ASri4ePR7RlsvIQgWPJpS","do it all","do it all","iann dior",2023-03-24,96000,26,spotify:user:,2023-03-24T04:00:00Z,"melodic rap,pop,pop rap,rap",0.486,0.791,10,-6.636,0,0.216,0.00703,0,0.208,0.4,179.925,4
1dvqHhLNccePPBHq11TW7v,"1U1el3k54VvEUzo3ybLPlM,4Gso3d4CscCijv0lmajZWs","Fantasy (feat. Don Toliver)","Red Moon In Venus","Kali Uchis,Don Toliver",2023-03-03,178274,75,spotify:user:,2023-03-24T04:00:00Z,"colombian pop,pop,rap,trap",0.641,0.684,10,-6.119,0,0.0476,0.129,0.000288,0.141,0.188,104.036,4
7oDd86yk8itslrA9HRP2ki,"1Xyo4u8uXC1ZmMpatF05PJ,66CXWjxzNUsdJxJ2JdwvnR","Die For You - Remix","Die For You (Remix)","The Weeknd,Ariana Grande",2023-02-24,232857,95,spotify:user:,2023-03-24T04:00:00Z,"canadian contemporary r&b,canadian pop,pop,dance pop",0.531,0.525,1,-6.5,0,0.0671,0.232,0,0.441,0.502,66.9,4
0rc1HCVoReqzzXF9jssqZk,"56oDRnqbIiwx4mymNEv7dS,7tYKF4w9nC0nq9CsPZTHyP","Special (feat. SZA)","Special (feat. SZA)","Lizzo,SZA",2023-02-09,174748,79,spotify:user:,2023-03-24T04:00:00Z,"dance pop,escape room,minnesota hip hop,pop,trap queen,r&b",0.464,0.724,7,-5.019,1,0.0705,0.0188,0,0.679,0.303,82.526,4
2Eb2TKNAaE15Fqd4A3MFWU,"7rrTqtOUOwva4sgTx9C9F9,2RQXRUsr4IW1f3mKyKsy4B","We’re All Gonna Die (with Noah Kahan)","We’re All Gonna Die","Joy Oladokun,Noah Kahan",2023-03-17,179202,63,spotify:user:,2023-03-24T04:00:00Z,"black americana,indie folk,la pop,neo mellow,pop",0.511,0.747,0,-5.551,1,0.042,0.144,0,0.232,0.477,95.034,4
