Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
06dQ2rcBkq7z3AEZ4jhvc2,"1FtBEIWAwvw5ymBen5GICR","Pray It Away","Pray It Away","Chlöe",2023-01-27,156073,65,spotify:user:,2023-03-15T21:15:09Z,"dance pop,pop,post-teen pop,r&b,rap",0.611,0.626,7,-5.087,1,0.0778,0.337,0,0.115,0.48,100.129,4
1Qrg8KqiBpW07V7PNxwwwL,"7tYKF4w9nC0nq9CsPZTHyP","Kill Bill","SOS","SZA",2022-12-08,153946,94,spotify:user:,2023-03-15T21:15:09Z,"pop,r&b",0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,4
20jLHaXVhMFjwHs1JPjL4S,"0cGUm45nv7Z6M6qdXYQGTX,3KedxarmBCyFBevnqQHy3P","more than i should (feat. jessie reyez)","blue water road","Kehlani,Jessie Reyez",2022-04-29,200639,55,spotify:user:,2023-03-15T21:15:09Z,"dance pop,pop,r&b,rap,canadian contemporary r&b,canadian pop",0.591,0.597,0,-6.769,0,0.141,0.186,0,0.1,0.552,143.948,4
53Nwlr3hxsGsu9eWU5EYjq,"4fxd5Ee7UefO4CUXgwJ7IP","Stuck On You","When It's All Said And Done","Giveon",2020-10-02,205116,58,spotify:user:,2023-03-15T21:15:09Z,"pop,r&b",0.599,0.45,7,-7.431,1,0.0519,0.166,0.0000329,0.112,0.144,157.969,3
0JXXNGljqupsJaZsgSbMZV,"360IAlyVv4PCEVjgyMZrxK","Sure Thing","All I Want Is You","Miguel",2010-11-26,195373,91,spotify:user:,2023-03-15T21:15:09Z,"dance pop,pop,r&b",0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,4
2Ch7LmS7r2Gy2kc64wv3Bz,"1Xyo4u8uXC1ZmMpatF05PJ","Die For You","Starboy","The Weeknd",2016-11-25,260253,87,spotify:user:,2023-03-15T21:15:09Z,"canadian contemporary r&b,canadian pop,pop",0.582,0.525,1,-7.163,0,0.0627,0.111,0,0.134,0.51,133.249,4
0xa6hDuygUskYwHD4hNXUR,"318bGJ7GOvMhYhkNOe5kZ5","atrapada en el cielo","Stuck in the Sky","María Isabel",2021-02-12,134452,43,spotify:user:,2023-03-15T21:15:09Z,"chill r&b,indie r&b",0.402,0.346,2,-9.694,0,0.0436,0.145,0,0.104,0.118,137.821,4
4MbzauKV2ydtZZjLsPcuTF,"7HO5fOXE4gh3lzZn64tX2E","Spread Thin","Buckles Laboratories Presents: The Intermission","Mariah the Scientist",2022-03-11,202519,73,spotify:user:,2023-03-15T21:15:09Z,"alternative r&b,chill r&b,pop,r&b",0.621,0.411,6,-8.261,0,0.0333,0.0553,0,0.0816,0.357,110.113,4
6PFyd6Gmp2LZHI1IpkZGgy,"3KedxarmBCyFBevnqQHy3P","MUTUAL FRIEND","YESSIE","Jessie Reyez",2022-09-16,206728,57,spotify:user:,2023-03-15T21:15:09Z,"canadian contemporary r&b,canadian pop,pop,r&b",0.537,0.349,11,-7.818,1,0.0358,0.79,0,0.094,0.388,99.762,3
2cue4DdCwO7himRLESpWk5,"4tMm1dU6Gn04VAZ9ClHcIZ,57LYzLEk2LcFghVwuWbcuS,4IVAbR2w4JJNJDDRFP3E83","Tell Me It's Over (feat. Summer Walker & 6LACK)","Sincerely For You","Jacquees,Summer Walker,6LACK",2022-12-16,281013,64,spotify:user:,2023-03-15T21:15:09Z,"atl hip hop,pop r&b,pop rap,r&b,rap,urban contemporary,pop,hip hop,melodic rap,trap",0.497,0.477,2,-7.285,0,0.116,0.373,0,0.114,0.389,121.524,4
5Gp0BMl8A4obJTIpd0qWox,"0s4kXsjYeH0S1xRyVGN4NO","Immature","Immature","FLO",2022-07-06,173105,57,spotify:user:,2023-03-15T21:15:09Z,"pop,r&b",0.346,0.571,10,-5.724,0,0.0762,0.00718,0,0.135,0.463,82.67,4
2WC4sK0ryyysQhtDok9Ytr,"3TVXtAsR1Inumwj472S9r4,5ZS223C6JyBfXasXxrRqOk","From Time","Nothing Was The Same (Deluxe)","Drake,Jhené Aiko",2013-01-01,322160,67,spotify:user:,2023-03-15T21:15:09Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap,pop,r&b,urban contemporary",0.737,0.494,1,-9.723,0,0.416,0.629,0,0.126,0.44,94.485,4
1VI7GQmBBgdslV3tQRvsRD,"0jUQSUOcM7lxVn5eVGTkzQ","What A Lie","What A Lie","Justine Skye",2022-04-22,228562,51,spotify:user:,2023-03-15T21:15:09Z,"pop,pop r&b",0.636,0.567,1,-7.344,1,0.0745,0.568,0.000014,0.131,0.282,125.457,4
2YrbV6XGLv4NH2aHzVuFpQ,"0xq4TZno4XwBzkbLnBAhlF","Ultimatum","'95 Civic","Dende",2023-03-08,154473,46,spotify:user:,2023-03-15T21:15:09Z,"indie r&b",0.575,0.409,5,-9.75,0,0.0865,0.0493,0.00000147,0.211,0.562,93.136,4
15jdfp3DjtjxRIOg2hZg66,"6N13mUTgkfYEUmW8R2GH0G","Hate","Hate","Idman",2023-01-20,243071,40,spotify:user:,2023-03-15T21:15:09Z,"",0.729,0.59,8,-2.483,1,0.108,0.21,0.00000929,0.379,0.433,159.789,4
2Dc1QaoJm4RXo4QZXKGIK6,"2saNOYtb2v8aXMmezcwAiI","Give Me Time","Give Me Time","Zeina",2022-07-07,154702,56,spotify:user:,2023-03-15T21:15:09Z,"canadian contemporary r&b,indie r&b",0.66,0.648,10,-6.339,0,0.0854,0.444,0,0.164,0.309,145.909,4
0TYhf0MgEj4YJaKwo5c4Km,"7jZMxhsB8djyIbYmoiJSTs","Wicked Games","Selfless","Kiana Ledé",2018-07-13,181266,72,spotify:user:,2023-03-15T21:15:09Z,"alternative r&b,chill r&b,dance pop,indie r&b,pop,pop r&b,post-teen pop,r&b,rap,urban contemporary",0.789,0.435,1,-7.042,0,0.0599,0.447,0,0.135,0.456,72.973,3
60ynsPSSKe6O3sfwRnIBRf,"5cj0lLjcoR7YOSnhnX0Po5","Streets","Hot Pink","Doja Cat",2019-11-07,226986,81,spotify:user:,2023-03-15T21:15:09Z,"dance pop,pop",0.749,0.463,11,-8.433,1,0.0842,0.21,0.0382,0.338,0.189,90.035,4
38k5xUTekY8K6yVqHkbgIo,"0XIKGBo9PnK1ApI5tZA60d","Dead To Me","Dead To Me","DaniLeigh",2022-05-10,133671,46,spotify:user:,2023-03-15T21:15:09Z,"pop,pop r&b,pop rap,r&b,rap,rap latina",0.526,0.347,7,-10.333,1,0.13,0.694,0.000251,0.112,0.344,115.219,4
1DOgkaR5Gqa8JtPEIbQORC,"5Vuvs6Py2JRU7WiFDVsI7J","Over","Over","Lucky Daye",2021-09-22,205275,66,spotify:user:,2023-03-15T21:15:09Z,"alternative r&b,indie r&b,pop,r&b",0.677,0.541,6,-6.057,0,0.0571,0.48,0,0.125,0.379,103.369,4
2GoXtcbzgBUrvYv6ac7zA9,"16rCzZOMQX7P8Kmn5YKexI","Letter To Ur Ex","Letter To Ur Ex","Mahalia",2022-02-17,134626,59,spotify:user:,2023-03-15T21:15:09Z,"alternative r&b,chill r&b,indie anthem-folk,indie r&b,neo soul,pop,r&b,uk contemporary r&b",0.69,0.494,6,-7.41,0,0.0378,0.572,0.00068,0.129,0.283,79.955,4
