Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
526fD9LiAEi3KKvhhYfWmm,"3ycxRkcZ67ALN3GQJ57Vig","What You Wanna Try","Masego","Masego",2023-03-03,159242,64,spotify:user:,2023-03-24T04:01:00Z,"",0.878,0.577,2,-5.925,1,0.0541,0.0656,0,0.0867,0.498,99.031,4
5BhK8Mho223YLPQOLfzWNP,"5FxD8fkQZ6KcsSYupDVoSO","Killing Me","Ivory","Omar Apollo",2022-04-08,165320,64,spotify:user:,2023-03-24T04:01:00Z,"bedroom pop,bedroom soul,pop",0.861,0.27,6,-9.515,0,0.0616,0.301,0.00288,0.124,0.608,84.004,4
2G5zNimfDzfcAtbHtEKzTu,"23zg3TcAtWQy7J6upgbUnj","GLU","GLU","Usher",2023-03-17,262711,63,spotify:user:,2023-03-24T04:01:00Z,"atl hip hop,contemporary r&b,dance pop,pop,r&b,south carolina hip hop,urban contemporary",0.758,0.552,7,-6.205,0,0.0346,0.0452,0.0000026,0.0613,0.489,98.976,3
4knVIbR3KouTZI1R26W3yy,"3UVRliakQfa1pMWIsNuiZ8,6q3p11nP1p80Ey6LrOOSed","white rice déjà vu","Victims & Villains","Musiq Soulchild,Hit-Boy",2023-03-10,230136,57,spotify:user:,2023-03-24T04:01:00Z,"contemporary r&b,hip pop,neo soul,r&b,urban contemporary,cali rap",0.554,0.754,1,-7.088,1,0.0797,0.402,0.00000171,0.108,0.728,146.076,4
37usDo7KCpJJHrDnzHG8xU,"5RRfTrwXUGYiBB0DMV4hyh,5YZ5AExR68U3ZblH6HcO6B","Naked - Feat. Leven Kali","Naked (Feat. Leven Kali)","Adi Oasis,Leven Kali",2023-03-01,184385,53,spotify:user:,2023-03-24T04:01:00Z,"alternative r&b,indie r&b,indie soul,chill r&b,r&b",0.638,0.779,5,-5.445,0,0.0602,0.51,0.00000202,0.334,0.971,81.99,4
2i2gDpKKWjvnRTOZRhaPh2,"1U1el3k54VvEUzo3ybLPlM","Moonlight","Moonlight","Kali Uchis",2023-02-24,187557,79,spotify:user:,2023-03-24T04:01:00Z,"colombian pop,pop",0.639,0.723,7,-6.462,0,0.0532,0.511,0,0.167,0.878,136.872,4
7eQpbVg3tjHmtdOlAHxaTr,"6vWDO969PvNqNYHIOW5v0m","CUFF IT - WETTER REMIX","CUFF IT","Beyoncé",2023-02-08,249406,73,spotify:user:,2023-03-24T04:01:00Z,"dance pop,pop,r&b",0.66,0.688,7,-6.34,1,0.0564,0.434,0,0.489,0.65,118.05,4
0pJO1tc1GpnxFyQp6Zp82r,"6eXZu6O7nAUA5z6vLV8NKI","Gorilla","NO THANK YOU","Little Simz",2022-12-12,245819,63,spotify:user:,2023-03-24T04:01:00Z,"alternative r&b,escape room,trap queen",0.716,0.813,5,-5.748,1,0.256,0.269,0,0.104,0.682,90.418,4
4kpj4Of5zjcHwCWnuI7Y1O,"0K2IuCIyPu4SJCZdcgdt8X","Night After Night","Night After Night","Dana McCoy",2021-08-06,193773,37,spotify:user:,2023-03-24T04:01:00Z,"",0.697,0.653,4,-5.117,0,0.0473,0.0909,0,0.0881,0.625,91.977,4
4exwQETG1yC3KPp8t57C9q,"3X9xtTCJtryAoqsSMKCzXu","Come and Get It - A COLORS SHOW","Come and Get It - A COLORS SHOW","NNAVY",2023-03-20,145800,31,spotify:user:,2023-03-24T04:01:00Z,"",0.86,0.647,10,-7.624,0,0.22,0.159,0.0000433,0.133,0.634,99.946,4
5wlZ4PZGrRR2feOTA862m2,"2LuHL7im4aCEmfOlD4rxBC","Pick Your Tears Up","Pick Your Tears Up","Grace Carter",2023-02-22,168513,50,spotify:user:,2023-03-24T04:01:00Z,"uk contemporary r&b,uk pop",0.505,0.528,10,-7.422,0,0.093,0.546,0,0.195,0.316,80.567,4
7BNvivBdgxjl80EugbEHFA,"5XJa2DE4NkXH5m4aHzM0i9,2kAP2prnGAq7s3DwRT6s16,0TkqXdyWLsssJH7okthMPQ","Enough","Enough","Rory,reggie,Jay Electronica",2023-03-17,166156,49,spotify:user:,2023-03-24T04:01:00Z,"indie hip hop,indie r&b,alternative hip hop,conscious hip hop,hip hop,psychedelic hip hop,rap,southern hip hop,underground hip hop",0.84,0.664,1,-6.779,0,0.0537,0.0746,0.000397,0.136,0.901,87.016,4
1xCWIOU851n2VKbVeu6Tn3,"1dmBfZXCP98HFGOl5zgOWe,5obWvG0ikceXOD0a45DSHO","Born 2 Fly","Born 2 Fly","Johnny Burgos,Jonny Tobin",2023-03-17,217706,20,spotify:user:,2023-03-24T04:01:00Z,"",0.668,0.666,4,-6.191,0,0.0503,0.00157,0.00291,0.0931,0.507,133.993,4
0vbmYCIWENdYyJ36Q4CdSz,"1ybINI1qPiFbwDXamRtwxD,6l3HvQ5sa6mXTsMTB19rO5","90 Proof (with J. Cole)","90 Proof (with J. Cole)","Smino,J. Cole",2022-09-30,208269,61,spotify:user:,2023-03-24T04:01:00Z,"hip hop,rap,underground hip hop,viral rap,conscious hip hop,north carolina hip hop",0.773,0.623,7,-6.53,1,0.0983,0.24,0.0000356,0.148,0.528,147.826,4
2qEyhtx20tSCSubM3JXhxu,"3jk39CGeaaSO3FPKNx1RUx,5Vuvs6Py2JRU7WiFDVsI7J","CYBAH (feat. Lucky Daye)","CYBAH (feat. Lucky Daye)","Syd,Lucky Daye",2022-03-18,244138,44,spotify:user:,2023-03-24T04:01:00Z,"alternative r&b,chill r&b,indie r&b,indie soul,lgbtq+ hip hop,r&b,pop",0.722,0.467,5,-7.519,0,0.077,0.0537,0.000557,0.122,0.68,74.968,4
1IjeGPU5hqHlJpm00zObN7,"63XBtGSEZINSyXylZxEUbv","Coastin’","Coastin’","Victoria Monét",2021-08-05,175319,61,spotify:user:,2023-03-24T04:01:00Z,"alternative r&b,chill r&b,indie r&b,pop,post-teen pop,r&b,rap",0.807,0.481,8,-7.362,0,0.0713,0.0264,0.00000128,0.112,0.748,91.005,4
2U7TvjwZAjyGsePJbisUmv,"7dYb5EKtRnRaWM0GQ12cKC,4tk2WUKBOS9nKZj7bPQIXT","Fever - Acoustic","Sweet Waters","June Freedom,Naïka",2023-03-08,226153,42,spotify:user:,2023-03-24T04:01:00Z,"kizomba",0.597,0.0274,10,-19.491,0,0.085,0.985,0.00016,0.363,0.174,128.242,5
1BqxPLnY6cZiD10u9aPFGz,"6jlWj6y00bMQt8XoKuCjyZ","Medal","Medal","Emily King",2023-02-28,196664,23,spotify:user:,2023-03-24T04:01:00Z,"alternative r&b,funk,indie soul,neo soul,nyc pop,pop soul,r&b",0.808,0.587,2,-8.57,1,0.0846,0.126,0.106,0.295,0.633,102.026,4
3ZQpXYZZFRQyRgopMptRje,"1iNqsUDUraNWrj00bqssQG,1vaQ6v3pOFxAIrFoPrAcom","Greater (with Ari Lennox)","Creed III: The Soundtrack","Dreamville,Ari Lennox",2023-03-03,193285,53,spotify:user:,2023-03-24T04:01:00Z,"hip hop,rap,alternative r&b,dmv rap,neo soul,pop,r&b",0.431,0.663,1,-6.632,1,0.0737,0.0219,0.001,0.12,0.328,118.034,4
0D9OkPTPIn9QkDucglW4DS,"3Qh89pgJeZq6d8uM1bTot3","Doo Wop (That Thing) - Spotify Singles","Spotify Singles","Tobe Nwigwe",2023-01-30,295761,46,spotify:user:,2023-03-24T04:01:00Z,"christian hip hop,houston rap",0.564,0.322,8,-11.213,1,0.0987,0.743,0,0.0962,0.596,91.632,4
2LABRdDstu1xkm1A48PqX7,"4E2rKHVDssGJm2SCDOMMJB","Stressed - A COLORS SHOW","Stressed - A COLORS SHOW","Doechii",2022-10-10,186818,53,spotify:user:,2023-03-24T04:01:00Z,"alternative r&b,escape room,pop,rap,viral rap",0.695,0.733,2,-7.282,1,0.117,0.035,0.0000313,0.0714,0.429,115.024,4
6fcFACL3GGEynUlyvmbqRt,"2XSaBoykurbHLXS5WwDewv,7owWHiQB5FQHFiBYXxbphY","If The Love Goes - A COLORS SHOW","If The Love Goes - A COLORS SHOW","Jamilah Barry,P2J",2022-12-05,223963,48,spotify:user:,2023-03-24T04:01:00Z,"alternative r&b,chill r&b,high vibe,indie r&b,uk contemporary r&b",0.694,0.592,4,-12.229,0,0.135,0.117,0.000238,0.325,0.448,105.88,4
3DxkonlRas1WjpWUuNmf7Z,"4yJHrytMK7mqtKsXVGaBNg","float","flora + fana (deluxe)","Fana Hues",2022-11-18,217055,49,spotify:user:,2023-03-24T04:01:00Z,"alternative r&b,chill r&b,indie r&b,indie soul",0.487,0.471,9,-4.654,0,0.0639,0.262,0.00278,0.131,0.509,91.737,4
6owRPnezJsGhlbKfbRAfqi,"7FNnF6wVawmhhqUbwLGeo2","The Dream","Love Money","Ciara Leah",2023-01-02,270826,28,spotify:user:,2023-03-24T04:01:00Z,"",0.491,0.541,5,-6.477,0,0.0577,0.479,0,0.0737,0.491,81.877,4
1RaO7Jv7R2CmhKR9Ne7YBo,"2clS9uX2uOrHHqkyDMkzA1","Get Away","Get Away","Amaria",2023-02-03,183050,57,spotify:user:,2023-03-24T04:01:00Z,"alternative r&b,chill r&b,indie r&b,indie soul",0.765,0.32,9,-7.957,0,0.0519,0.513,0.685,0.135,0.633,118.004,4
43h2GMMKxuNSwFF4MUpiiY,"55icKM7WkjXWnyfvCTlqbk","Away","Love Is My Condition / Away","Tasha Angela",2022-11-04,160993,30,spotify:user:,2023-03-24T04:01:00Z,"",0.576,0.596,0,-6.073,1,0.0501,0.48,0.0000218,0.216,0.494,171.995,4
