Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2SLwbpExuoBDZBpjfefCtV,"1Xyo4u8uXC1ZmMpatF05PJ","Out of Time","Dawn FM","The Weeknd",2022-01-06,214193,81,spotify:user:,2023-03-17T04:01:00Z,"canadian contemporary r&b,canadian pop,pop",0.65,0.76,0,-4.422,0,0.0446,0.255,0,0.339,0.838,93.057,4
1xzi1Jcr7mEi9K2RfzLOqS,"6vWDO969PvNqNYHIOW5v0m","CUFF IT","RENAISSANCE","Beyoncé",2022-07-29,225388,89,spotify:user:,2023-03-17T04:01:00Z,"dance pop,pop,r&b",0.78,0.689,7,-5.668,1,0.141,0.0368,0.00000969,0.0698,0.642,115.042,4
1SlGaBvTqX0gb24ouXonOo,"2cWZOOzeOm4WmBJRnD5R7I","Fair","Fair","Normani",2022-03-18,184012,60,spotify:user:,2023-03-17T04:01:00Z,"dance pop,pop,post-teen pop,r&b,rap",0.721,0.364,5,-7.81,0,0.0483,0.673,0.000054,0.105,0.4,94.098,4
2wSTnntOPRi7aQneobFtU4,"7tYKF4w9nC0nq9CsPZTHyP","Shirt","SOS","SZA",2022-12-09,181840,83,spotify:user:,2023-03-17T04:01:00Z,"pop,r&b",0.848,0.512,3,-7.72,0,0.102,0.228,0.00232,0.0879,0.572,120.009,4
0JXXNGljqupsJaZsgSbMZV,"360IAlyVv4PCEVjgyMZrxK","Sure Thing","All I Want Is You","Miguel",2010-11-26,195373,91,spotify:user:,2023-03-17T04:01:00Z,"dance pop,pop,r&b",0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,4
2dHHgzDwk4BJdRwy9uXhTO,"0iEtIxbK0KxaSlF7G42ZOp,1Xyo4u8uXC1ZmMpatF05PJ,1URnnhqYAYcrqrcwql10ft","Creepin' (with The Weeknd & 21 Savage)","HEROES & VILLAINS","Metro Boomin,The Weeknd,21 Savage",2022-12-02,221520,95,spotify:user:,2023-03-17T04:01:00Z,"rap,canadian contemporary r&b,canadian pop,pop,atl hip hop",0.715,0.62,1,-6.005,0,0.0484,0.417,0,0.0822,0.172,97.95,4
2Ch7LmS7r2Gy2kc64wv3Bz,"1Xyo4u8uXC1ZmMpatF05PJ","Die For You","Starboy","The Weeknd",2016-11-25,260253,87,spotify:user:,2023-03-17T04:01:00Z,"canadian contemporary r&b,canadian pop,pop",0.582,0.525,1,-7.163,0,0.0627,0.111,0,0.134,0.51,133.249,4
6LL5S3DGrUJ6cZRuDefguP,"4fxd5Ee7UefO4CUXgwJ7IP","Lie Again","Lie Again","Giveon",2022-04-29,187027,60,spotify:user:,2023-03-17T04:01:00Z,"pop,r&b",0.431,0.349,7,-9.426,1,0.0325,0.434,0.0000702,0.241,0.165,62.627,3
6tTeRmhhuwDl5Y4UiJdHuO,"5yOvAmpIR7hVxiS6Ls5DPO,1uNFoZAHBGtllmzznpCI3s","attention","attention","Omah Lay,Justin Bieber",2022-03-03,180563,63,spotify:user:,2023-03-17T04:01:00Z,"afro dancehall,canadian pop,pop",0.817,0.72,5,-8.134,0,0.0809,0.172,0.000726,0.109,0.384,119.989,4
1dIWPXMX4kRHj6Dt2DStUQ,"4qXC0i02bSFstECuXP2ZpL,5LHRHt1k9lMyONurDHEdrp,7c0XG5cIJTrrAgEC3ULPiq","Chosen (feat. Ty Dolla $ign)","No Love Lost (Deluxe)","Blxst,Tyga,Ty Dolla $ign",2020-12-04,161684,73,spotify:user:,2023-03-17T04:01:00Z,"pop rap,westcoast flow,dance pop,hip hop,rap,southern hip hop,trap,pop,r&b,trap soul",0.571,0.767,2,-5.16,1,0.287,0.336,0,0.0809,0.605,93.421,4
