Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4BMhlUG6LpQhcpvRuvfQRM,"3qfqqDpGv4XNfa3G0EfP9s,45RZn1pAEvQYqkRnvFaIJx","Last One","Last One","Savannah Ré,Dylan Sinclair",2022-03-30,181823,50,spotify:user:,2023-03-17T04:00:00Z,"alternative r&b,canadian contemporary r&b,chill r&b,indie r&b,pop r&b",0.529,0.435,5,-8.728,1,0.102,0.702,0,0.144,0.532,63.981,4
3YZmW6AUHsbN7KhOTd944i,"1Xyo4u8uXC1ZmMpatF05PJ,57LYzLEk2LcFghVwuWbcuS","Best Friends - Remix","Best Friends (Remix)","The Weeknd,Summer Walker",2022-08-05,175071,59,spotify:user:,2023-03-17T04:00:00Z,"canadian contemporary r&b,canadian pop,pop,r&b",0.608,0.649,4,-6.569,0,0.113,0.24,0,0.311,0.612,180.22,3
0L2qoVdYFANCKydaeuqDHU,"5R1cUyk9ysrruOo4ErpGjg","Love Shit","Worthy","LU KALA",2020-10-21,180874,40,spotify:user:,2023-03-17T04:00:00Z,"",0.738,0.691,0,-4.901,1,0.101,0.0638,0,0.227,0.784,134.012,4
10hUWpN7YFbK64zWuXxqGT,"3MM3uKNdJbvefUael12dl3","Lowkey","1021","Rochelle Jordan",2014-11-11,223573,60,spotify:user:,2023-03-17T04:00:00Z,"alternative r&b,escape room,indie r&b",0.718,0.443,1,-11.011,1,0.0918,0.485,0.0000351,0.0932,0.373,110.03,4
2Ch7LmS7r2Gy2kc64wv3Bz,"1Xyo4u8uXC1ZmMpatF05PJ","Die For You","Starboy","The Weeknd",2016-11-25,260253,87,spotify:user:,2023-03-17T04:00:00Z,"canadian contemporary r&b,canadian pop,pop",0.582,0.525,1,-7.163,0,0.0627,0.111,0,0.134,0.51,133.249,4
2Dc1QaoJm4RXo4QZXKGIK6,"2saNOYtb2v8aXMmezcwAiI","Give Me Time","Give Me Time","Zeina",2022-07-07,154702,56,spotify:user:,2023-03-17T04:00:00Z,"canadian contemporary r&b,indie r&b",0.66,0.648,10,-6.339,0,0.0854,0.444,0,0.164,0.309,145.909,4
5nGpC4ho50ESHj30ocN3sV,"2wUjUUtkb5lvLKcGKsKqsR,6UtYvUtXnmg5EtllDFlWp8","Middle Ground (feat. CHIKA)","In The Meantime","Alessia Cara,CHIKA",2021-09-24,223034,37,spotify:user:,2023-03-17T04:00:00Z,"canadian contemporary r&b,canadian pop,dance pop,electropop,pop,post-teen pop,alabama rap,alternative r&b",0.547,0.495,5,-6.313,1,0.361,0.347,0,0.116,0.796,148.377,4
2dHHgzDwk4BJdRwy9uXhTO,"0iEtIxbK0KxaSlF7G42ZOp,1Xyo4u8uXC1ZmMpatF05PJ,1URnnhqYAYcrqrcwql10ft","Creepin' (with The Weeknd & 21 Savage)","HEROES & VILLAINS","Metro Boomin,The Weeknd,21 Savage",2022-12-02,221520,95,spotify:user:,2023-03-17T04:00:00Z,"rap,canadian contemporary r&b,canadian pop,pop,atl hip hop",0.715,0.62,1,-6.005,0,0.0484,0.417,0,0.0822,0.172,97.95,4
7yyYmGQXSyrH7kLALSTFjg,"37AvA9c8rndxYbojqst9At","Video Games","Video Games","Sun",2021-08-20,220820,56,spotify:user:,2023-03-17T04:00:00Z,"alternative r&b,chill r&b,indie r&b,r&b",0.702,0.406,0,-11.385,0,0.0438,0.619,0.0000143,0.159,0.328,103.03,4
047fCsbO4NdmwCBn8pcUXl,"3TVXtAsR1Inumwj472S9r4","Marvins Room","Take Care (Deluxe)","Drake",2011-11-15,347226,73,spotify:user:,2023-03-17T04:00:00Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap",0.492,0.26,9,-17.341,0,0.0921,0.646,0.00178,0.0705,0.312,111.519,5
