Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2sITbbWIOeg2Lwp4WN2jqr,"0s4kXsjYeH0S1xRyVGN4NO,2wIVse2owClT7go1WT98tk","Fly Girl (feat. Missy Elliott)","Fly Girl (feat. Missy Elliott)","FLO,Missy Elliott",2023-03-23,205384,0,spotify:user:,2023-03-24T04:00:00Z,"pop,r&b,dance pop,hip hop,hip pop,pop rap,rap,urban contemporary,virginia hip hop",0.698,0.846,8,-3.735,0,0.0981,0.406,0,0.204,0.726,103.968,4
22sKJ38aklXtEzQtnDDluQ,"6pOz4M7D8ENqfLSFvciEuV,6Kp3KWPiVgi33DkJqo9T4g","Lock Up","Lock Up","Nonso Amadi,Zinoleesky",2023-03-24,223005,0,spotify:user:,2023-03-24T04:00:00Z,"afropop,alte,nigerian pop",0.835,0.594,6,-6.426,0,0.177,0.248,0.000713,0.0577,0.645,104.855,4
3GxW7jtmUatEqM14hZdKFC,"2saNOYtb2v8aXMmezcwAiI","NASTY","NASTY","Zeina",2023-02-22,170366,60,spotify:user:,2023-03-24T04:00:00Z,"canadian contemporary r&b,indie r&b",0.784,0.507,4,-6.462,0,0.205,0.251,0,0.0866,0.529,99.021,4
2G5zNimfDzfcAtbHtEKzTu,"23zg3TcAtWQy7J6upgbUnj","GLU","GLU","Usher",2023-03-17,262711,63,spotify:user:,2023-03-24T04:00:00Z,"atl hip hop,contemporary r&b,dance pop,pop,r&b,south carolina hip hop,urban contemporary",0.758,0.552,7,-6.205,0,0.0346,0.0452,0.0000026,0.0613,0.489,98.976,3
4YZw8g4J3FM98EWoKH8Tfo,"4IVAbR2w4JJNJDDRFP3E83","Fatal Attraction","Fatal Attraction","6LACK",2023-03-16,196933,61,spotify:user:,2023-03-24T04:00:00Z,"atl hip hop,hip hop,melodic rap,pop,r&b,rap,trap",0.677,0.491,2,-8.988,0,0.161,0.367,0.0000331,0.0754,0.644,85.085,4
1O8zCu3dLLPxkbGfIsbRgE,"4E2rKHVDssGJm2SCDOMMJB,46SHBwWsqBkxI7EeeBEQG7","What It Is (Block Boy) (with Kodak Black)","What It Is (Block Boy) (with Kodak Black)","Doechii,Kodak Black",2023-03-17,223343,60,spotify:user:,2023-03-24T04:00:00Z,"alternative r&b,escape room,pop,rap,viral rap,florida drill,florida rap,hip hop,melodic rap,miami hip hop,trap,trap latino",0.731,0.744,1,-5.77,0,0.174,0.109,0,0.123,0.727,171.859,4
0vQffWKfl0JyRqtdoZINEM,"1U1el3k54VvEUzo3ybLPlM,57LYzLEk2LcFghVwuWbcuS","Deserve Me (with Summer Walker)","Red Moon In Venus","Kali Uchis,Summer Walker",2023-03-03,265888,72,spotify:user:,2023-03-24T04:00:00Z,"colombian pop,pop,r&b",0.639,0.641,8,-6.798,0,0.0344,0.0649,0.0000158,0.137,0.419,111.017,4
2J1iMDApDGF5akWEl1spZQ,"0P54cVemq1DCHUfUMlWAoN","Keep From Falling","Keep From Falling","TOBi",2023-03-23,236133,0,spotify:user:,2023-03-24T04:00:00Z,"canadian contemporary r&b,canadian hip hop,indie hip hop,indie r&b,underground hip hop",0.502,0.297,11,-9.858,1,0.0424,0.819,0.00159,0.563,0.221,120.025,4
0ixyLzNaPr7G2Fu5ETgssB,"1FtBEIWAwvw5ymBen5GICR,7bXgB6jMjp9ATFy66eO08Z","How Does It Feel","How Does It Feel","Chlöe,Chris Brown",2023-02-24,166623,75,spotify:user:,2023-03-24T04:00:00Z,"dance pop,pop,post-teen pop,r&b,rap",0.575,0.738,8,-3.65,1,0.0712,0.208,0,0.153,0.391,82.609,4
0Vv7lPT21u7YjxpCYdCYwq,"2NdeV5rLm47xAvogXrYhJX","Da Girls","Da Girls","Ciara",2023-03-24,224268,0,spotify:user:,2023-03-24T04:00:00Z,"dance pop,hip pop,pop,post-teen pop,r&b,urban contemporary",0.538,0.606,3,-6.423,0,0.421,0.459,0,0.163,0.429,79.714,5
