Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7K3BhSpAxZBznislvUMVtn,"4oUHIQIBe0LHzYfvXNW4QM","Last Night","One Thing At A Time","Morgan Wallen",2023-03-03,163854,84,spotify:user:,2023-03-24T14:24:02Z,"contemporary country",0.492,0.675,6,-5.456,1,0.0389,0.467,0,0.142,0.478,203.759,4
4DHcnVTT87F0zZhRPYmZ3B,"5YGY8feqx7naU7z4HrwZM6","Flowers","Endless Summer Vacation","Miley Cyrus",2023-03-10,200600,85,spotify:user:,2023-03-24T14:24:02Z,"pop",0.707,0.681,0,-4.325,1,0.0668,0.0632,0.00000515,0.0322,0.646,117.999,4
6AQbmUe0Qwf5PZnt4HmTXv,"78rUTD7y6Cy67W1RVzYs7t,3LZZPxNDGDFVSIPqf4JuEf","Boy's a liar Pt. 2","Boy's a liar Pt. 2","PinkPantheress,Ice Spice",2023-02-03,131013,96,spotify:user:,2023-03-24T14:24:02Z,"",0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,4
1Qrg8KqiBpW07V7PNxwwwL,"7tYKF4w9nC0nq9CsPZTHyP","Kill Bill","SOS","SZA",2022-12-08,153946,94,spotify:user:,2023-03-24T14:24:02Z,"pop,r&b",0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,4
2dHHgzDwk4BJdRwy9uXhTO,"0iEtIxbK0KxaSlF7G42ZOp,1Xyo4u8uXC1ZmMpatF05PJ,1URnnhqYAYcrqrcwql10ft","Creepin' (with The Weeknd & 21 Savage)","HEROES & VILLAINS","Metro Boomin,The Weeknd,21 Savage",2022-12-02,221520,95,spotify:user:,2023-03-24T14:24:02Z,"rap,canadian contemporary r&b,canadian pop,pop,atl hip hop",0.715,0.62,1,-6.005,0,0.0484,0.417,0,0.0822,0.172,97.95,4
0WtM2NBVQNNJLh6scP13H8,"46pWGuE3dSwY3bMMXGBvVS,0C8ZW7ezQVs4URX5aX7Kqx","Calm Down (with Selena Gomez)","Calm Down (with Selena Gomez)","Rema,Selena Gomez",2022-08-25,239317,94,spotify:user:,2023-03-24T14:24:02Z,"nigerian pop,dance pop,pop,post-teen pop",0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,4
4W4fNrZYkobj539TOWsLO2,"1Xyo4u8uXC1ZmMpatF05PJ,66CXWjxzNUsdJxJ2JdwvnR","Die For You (with Ariana Grande) - Remix","Starboy (Deluxe)","The Weeknd,Ariana Grande",2023-03-14,232857,74,spotify:user:,2023-03-24T14:24:02Z,"canadian contemporary r&b,canadian pop,pop,dance pop",0.575,0.5,1,-7.594,0,0.0707,0.227,0,0.335,0.506,67.033,4
4uUG5RXrOk84mYEfFvj3cK,"1Cs0zKBU1kc0i8ypK3B9ai,64M6ah0SkkRsnPGtGiRAbb","I'm Good (Blue)","I'm Good (Blue)","David Guetta,Bebe Rexha",2022-08-26,175238,94,spotify:user:,2023-03-24T14:24:02Z,"big room,dance pop,edm,pop,pop dance,post-teen pop",0.561,0.965,7,-3.673,0,0.0343,0.00383,0.00000707,0.371,0.304,128.04,4
6UN73IYd0hZxLi8wFPMQij,"6AMd49uBDJfhf30Ak2QR5s","Players","Players","Coi Leray",2022-11-30,139560,91,spotify:user:,2023-03-24T14:24:02Z,"new jersey underground rap,rap,trap queen,viral rap",0.954,0.516,6,-5.817,1,0.16,0.03,0.00000754,0.0504,0.624,105.001,4
0V3wPSX9ygBnCm8psDIegu,"06HL4z0CvFAxyc27GXpf02","Anti-Hero","Midnights","Taylor Swift",2022-10-21,200690,93,spotify:user:,2023-03-24T14:24:02Z,"pop",0.637,0.643,4,-6.571,1,0.0519,0.13,0.0000018,0.142,0.533,97.008,4
4P9Q0GojKVXpRTJCaL3kyy,"06HL4z0CvFAxyc27GXpf02","All Of The Girls You Loved Before","All Of The Girls You Loved Before","Taylor Swift",2019-08-23,221407,84,spotify:user:,2023-03-24T14:24:02Z,"pop",0.718,0.467,2,-9.66,1,0.0398,0.707,0.0000692,0.126,0.396,95.96,3
4Dvkj6JhhA12EX05fT7y2e,"6KImCVD70vtIoJWnq6nGn3","As It Was","Harry's House","Harry Styles",2022-05-20,167303,90,spotify:user:,2023-03-24T14:24:02Z,"pop",0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4
2L9N0zZnd37dwF0clgxMGI,"1GmsPCcpKgF9OhlNXjOsbS","ceilings","five seconds flat","Lizzy McAlpine",2022-04-08,182887,89,spotify:user:,2023-03-24T14:24:02Z,"boston folk,indie pop,pop",0.516,0.322,9,-11.762,1,0.0292,0.473,0.00194,0.215,0.261,148.005,3
