Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3Kw7zkALCVxY4wmlnh2IWC,"4GJ6xDCF5jaUqD6avOuQT6","Cupid - Twin Ver.","The Beginning: Cupid","FIFTY FIFTY",2023-02-24,174253,81,spotify:user:,2023-03-24T16:09:48Z,"",0.782,0.587,11,-8.3,0,0.0324,0.428,0.00000185,0.337,0.76,120.041,4
6rdqabpJT3jplQzor1os8j,"509YLwDnYeTaVfX0Kl6Jdn,2n5g6GMUmSCommxT8NHNPa","Abadi","Abadi","Dendi Nata,Hendra Kumbara",2023-02-24,292864,65,spotify:user:,2023-03-24T16:09:48Z,"indonesian folk,semarang indie,dangdut,javanese dangdut,lagu jawa",0.481,0.715,7,-5.806,1,0.0264,0.0363,0.0000283,0.236,0.407,139.983,4
4dKa5ZzlGqUy3Wo0yaXKNI,"4GJ6xDCF5jaUqD6avOuQT6","Cupid","The Beginning: Cupid","FIFTY FIFTY",2023-02-24,174253,81,spotify:user:,2023-03-24T16:09:48Z,"",0.77,0.661,2,-8.199,1,0.0336,0.652,0,0.383,0.943,120.053,4
47OFMuRu5lzJHRbtEXPBbs,"6Dp4LInLyMVA2qhRqQ6AGL","Uhaw (Tayong Lahat)","Uhaw (Tayong Lahat)","Dilaw",2022-12-16,241185,70,spotify:user:,2023-03-24T16:09:48Z,"pinoy indie",0.635,0.724,5,-6.662,1,0.0716,0.28,0.00000383,0.105,0.316,135.927,4
7g0PwcVq4qNuum1ex9OO0N,"6Dg35SGkgpUJ2hGAYrx5Qa","Elevate","Elevate","Jeff Grecia",2022-12-23,218650,73,spotify:user:,2023-03-24T16:09:48Z,"tagalog rap",0.894,0.63,0,-10.993,0,0.14,0.535,0,0.0996,0.6,121.08,4
5OaXaynJZgklXEwzhouey5,"2ztuZ95DKP7O7DDAxCKYen","กลิ่นดอกไม้","กลิ่นดอกไม้","Newery",2019-08-07,232750,67,spotify:user:,2023-03-24T16:09:48Z,"",0.495,0.702,9,-5.603,1,0.0324,0.0997,0.00000969,0.328,0.461,180.077,4
0uGpWtQgtZ6UcFXnFiNhNq,"3prRKGJz16RRMRSIM97nHw,4YqwRbMLqGHRHLS1w2ZKse,6TPJK8tv3AKKSsw0lENTQk,5OvehyyUJ5edWaogL9o4Ka","Nunca Sozinho","Nunca Sozinho","Supernova Ent,Veigh,Nagalli,Rocco",2023-03-03,137102,71,spotify:user:,2023-03-24T16:09:48Z,"trap brasileiro,musica triste brasileira",0.818,0.701,1,-5.656,0,0.342,0.0605,0,0.485,0.947,139.963,4
3x8hqraew3LLsZENdhGv3P,"0JVl2O7TNYlEc6Lc2jHW3o","MERVE - Masada Chivas","MERVE (Masada Chivas)","B4TU INC.",2023-03-15,159112,52,spotify:user:,2023-03-24T16:09:48Z,"new school turkce rap",0.807,0.763,2,-3.229,1,0.0509,0.481,0.00000126,0.107,0.426,126.016,4
7MVIfkyzuUmQ716j8U7yGR,"5szJHKg5xeUlQ9pTqzdpic,19HM5j0ULGSmEoRcrSe5x3","Rara Vez","Rara Vez","Taiu,Milo j",2023-02-08,128677,87,spotify:user:,2023-03-24T16:09:48Z,"",0.838,0.708,5,-4.668,0,0.166,0.176,0,0.343,0.96,119.984,4
7bSlafYF33JHLoB9NtsL9V,"0ZUdYzRCIrxbsd80MmGMqo","Look At Us Now (Honeycomb)","AURORA","Daisy Jones & The Six",2023-03-02,332386,71,spotify:user:,2023-03-24T16:09:48Z,"",0.323,0.761,7,-6.143,1,0.0479,0.00942,0.000586,0.0827,0.466,141.282,4
1JjiTsqfpfMoukoIW9cM5O,"0H942IkjXv9bjx5OxoG7kh,2MQN1o9W3ULxdT38vj8g4Q","XTAYALIVE","XTAYALIVE","jnhygs,9lives",2023-02-22,126897,69,spotify:user:,2023-03-24T16:09:48Z,"sigilkore",0.247,0.869,6,-4.781,0,0.0958,0.000184,0.00000141,0.404,0.25,202.792,5
40gk32E7YaTFoQwDIWv2SY,"7dIpKWlEeAljA20vFJ82RD","Christmas Kids","I Can't Handle Change","Roar",2010-03-14,135693,78,spotify:user:,2023-03-24T16:09:48Z,"indie pop,weirdcore",0.425,0.754,2,-6.028,1,0.0367,0.0104,0.112,0.438,0.558,152.092,4
1SRw5p2lVAi7RGlHEmZg66,"6BH1xcDkwbbyrLMUKECsW1","Favorite Song","Favorite Song","Toosii",2023-02-17,208630,80,spotify:user:,2023-03-24T16:09:48Z,"north carolina hip hop",0.816,0.367,2,-9.354,1,0.0588,0.314,0,0.0987,0.413,116.035,4
6N21iOdTYgYjDK1AyS0iUW,"1cCttBLMdXSirH1ENijMcU","Sky Like Dreams (SU)","Himmlische Träume","CNML",2023-01-01,89721,68,spotify:user:,2023-03-24T16:09:48Z,"",0.504,0.47,11,-11.818,1,0.296,0.128,0,0.587,0.709,118.676,3
4ChIBnH5lO5thSaNeMV0oE,"0pVJXCGsBydS7rq0R4w4hm,0F1EEVbFwozNDGU9DAdpq8","BEBÊ TÁ SOLTA","BEBÊ TÁ SOLTA","Yuri Redicopa,Dj Bnão",2023-02-15,197104,72,spotify:user:,2023-03-24T16:09:48Z,"funk 150 bpm,funk mtg",0.939,0.612,9,-9.452,1,0.0505,0.865,0.433,0.111,0.946,130.028,4
