Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7oDd86yk8itslrA9HRP2ki,"1Xyo4u8uXC1ZmMpatF05PJ,66CXWjxzNUsdJxJ2JdwvnR","Die For You - Remix","Die For You (Remix)","The Weeknd,Ariana Grande",2023-02-24,232857,95,spotify:user:,2023-03-24T04:00:00Z,"canadian contemporary r&b,canadian pop,pop,dance pop",0.531,0.525,1,-6.5,0,0.0671,0.232,0,0.441,0.502,66.9,4
07bsRv0pcpbG4zJeLsUs1p,"6eUKZXaKkcviH0Ku9w2n3V","Eyes Closed","Eyes Closed","Ed Sheeran",2023-03-24,194848,0,spotify:user:,2023-03-24T04:00:00Z,"pop,uk pop",0.777,0.526,2,-6.221,1,0.0645,0.302,0,0.105,0.389,107.071,4
3AAY8YicetRPlDAkibHLiS,"5YGY8feqx7naU7z4HrwZM6","Jaded","Endless Summer Vacation","Miley Cyrus",2023-03-10,185933,83,spotify:user:,2023-03-24T04:00:00Z,"pop",0.496,0.593,4,-5.154,1,0.0285,0.0476,0,0.0909,0.177,91.038,4
6G1Mz5yMgn0ydOlIvTrZ65,"6mx5dgNlLjrDDMyFsgrW87","Run Away to Mars","Run Away to Mars","TALK",2021-06-23,213753,74,spotify:user:,2023-03-24T04:00:00Z,"",0.554,0.38,9,-10.666,1,0.0314,0.526,0,0.213,0.284,118.925,4
59uQI0PADDKeE6UZDTJEe8,"4oUHIQIBe0LHzYfvXNW4QM","Last Night","3 Songs At A Time Sampler","Morgan Wallen",2023-01-31,163854,88,spotify:user:,2023-03-24T04:00:00Z,"contemporary country",0.517,0.675,6,-5.382,1,0.0357,0.459,0,0.151,0.518,203.853,4
2Jw3VjB1xy5KHBqEeAC6VK,"2FXC3k01G6Gw61bmprjgqS","Eat Your Young","Eat Your Young","Hozier",2023-03-17,242293,75,spotify:user:,2023-03-24T04:00:00Z,"irish singer-songwriter,pop",0.553,0.587,5,-6.829,1,0.0277,0.345,0.1,0.256,0.346,90.018,4
079mntueS2KWjxVqOHjG70,"5TvdGhdmRObqOkU6eGfXb5,2uFC1dAj5b0YU7vulKNZ0p","Flowers Need Rain","Flowers Need Rain","Preston Pablo,Banx & Ranx",2022-04-08,168126,69,spotify:user:,2023-03-24T04:00:00Z,"basshall",0.655,0.539,1,-7.596,0,0.08,0.029,0,0.17,0.221,119.914,4
0WtM2NBVQNNJLh6scP13H8,"46pWGuE3dSwY3bMMXGBvVS,0C8ZW7ezQVs4URX5aX7Kqx","Calm Down (with Selena Gomez)","Calm Down (with Selena Gomez)","Rema,Selena Gomez",2022-08-25,239317,94,spotify:user:,2023-03-24T04:00:00Z,"nigerian pop,dance pop,pop,post-teen pop",0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,4
5eTaQYBE1yrActixMAeLcZ,"7CajNmpbOovFoOoasH2HaY,0X2BH1fck6amBIoJhDVmmJ","Miracle (with Ellie Goulding)","Miracle (with Ellie Goulding)","Calvin Harris,Ellie Goulding",2023-03-10,186496,83,spotify:user:,2023-03-24T04:00:00Z,"dance pop,edm,electro house,house,pop,progressive house,uk dance,electropop,indietronica,metropopolis,uk pop",0.636,0.869,9,-5.289,1,0.0412,0.0378,0.0446,0.0808,0.306,143.011,4
12cZWGf5ZgLcKubEW9mx5q,"6fOMl44jA4Sp5b9PpYCkzz","HOPE","HOPE","NF",2023-02-16,264473,83,spotify:user:,2023-03-24T04:00:00Z,"hip hop,pop rap,rap",0.546,0.787,0,-4.023,0,0.212,0.396,0,0.0619,0.497,100.559,3
7fZBQnc0zXwVybgCIrQQil,"5rGrDvrLOV2VV8SCFVGWlj,0Upxnyh9nIUNSOmNE8WF4R","Belly Dancer","Belly Dancer","Imanbek,BYOR",2022-02-18,151475,82,spotify:user:,2023-03-24T04:00:00Z,"covertronica,dance pop,edm,electro house,pop dance,slap house,tropical house,bass house,russian edm",0.845,0.797,1,-4.984,1,0.139,0.0582,0.00000557,0.167,0.422,121.985,4
10xV5l9nhLvFpR8mqzs0bL,"64KEffDW9EtZ1y2vBYgq8T,6LuN9FCkKOj5PcnpouEgny","Numb","Numb","Marshmello,Khalid",2022-06-10,155588,81,spotify:user:,2023-03-24T04:00:00Z,"brostep,dance pop,edm,pop,pop dance,progressive electro house,pop r&b",0.912,0.774,0,-4.673,0,0.0455,0.121,0.0127,0.101,0.632,119.966,4
2dHHgzDwk4BJdRwy9uXhTO,"0iEtIxbK0KxaSlF7G42ZOp,1Xyo4u8uXC1ZmMpatF05PJ,1URnnhqYAYcrqrcwql10ft","Creepin' (with The Weeknd & 21 Savage)","HEROES & VILLAINS","Metro Boomin,The Weeknd,21 Savage",2022-12-02,221520,95,spotify:user:,2023-03-24T04:00:00Z,"rap,canadian contemporary r&b,canadian pop,pop,atl hip hop",0.715,0.62,1,-6.005,0,0.0484,0.417,0,0.0822,0.172,97.95,4
3zkyus0njMCL6phZmNNEeN,"5H4yInM5zmHqpKIoMNAx4r","LET GO","LET GO","Central Cee",2022-12-15,174246,88,spotify:user:,2023-03-24T04:00:00Z,"melodic drill",0.735,0.449,2,-9.933,0,0.383,0.859,0,0.213,0.514,146.016,4
6BePGk3eCan4FqaW2X8Qy3,"2o5jDhtHVPhrJdv3cEQ99Z,45dkTj5sMRSjrmBSBeiHym","10:35","10:35","Tiësto,Tate McRae",2022-11-03,172252,89,spotify:user:,2023-03-24T04:00:00Z,"big room,brostep,dance pop,dutch edm,edm,house,pop dance,slap house,trance,tropical house,pop",0.696,0.793,8,-5.733,1,0.097,0.0683,0.00000378,0.18,0.698,120.003,4
4ZYAU4A2YBtlNdqOUtc7T2,"0hCNtLu0JehylgoiP8L4Gh","Red Ruby Da Sleeze","Red Ruby Da Sleeze","Nicki Minaj",2023-03-03,214445,83,spotify:user:,2023-03-24T04:00:00Z,"dance pop,hip pop,pop,queens hip hop,rap",0.696,0.733,1,-6.181,1,0.256,0.115,0,0.111,0.292,98.355,4
6UN73IYd0hZxLi8wFPMQij,"6AMd49uBDJfhf30Ak2QR5s","Players","Players","Coi Leray",2022-11-30,139560,91,spotify:user:,2023-03-24T04:00:00Z,"new jersey underground rap,rap,trap queen,viral rap",0.954,0.516,6,-5.817,1,0.16,0.03,0.00000754,0.0504,0.624,105.001,4
5wG3HvLhF6Y5KTGlK0IW3J,"0iEtIxbK0KxaSlF7G42ZOp,0Y5tJX1MQlPlqiwlOH1tJY,50co4Is1HCEo8bhOyUWKpn","Trance (with Travis Scott & Young Thug)","HEROES & VILLAINS","Metro Boomin,Travis Scott,Young Thug",2022-12-02,194786,85,spotify:user:,2023-03-24T04:00:00Z,"rap,slap house,atl hip hop,atl trap,gangster rap,hip hop,melodic rap,pop rap,southern hip hop,trap",0.571,0.549,1,-7.38,0,0.404,0.18,0,0.168,0.447,119.497,4
1yHVHoz6Ny29gbbWJYVnFt,"1Hsdzj7Dlq2I7tHP7501T4","Heaven","Heaven","Niall Horan",2023-02-17,186043,86,spotify:user:,2023-03-24T04:00:00Z,"dance pop,pop,post-teen pop",0.571,0.761,5,-3.485,1,0.0261,0.0708,0,0.331,0.681,91.991,4
0yLdNVWF3Srea0uzk55zFn,"5YGY8feqx7naU7z4HrwZM6","Flowers","Flowers","Miley Cyrus",2023-01-13,200454,100,spotify:user:,2023-03-24T04:00:00Z,"pop",0.707,0.681,0,-4.325,1,0.0668,0.0632,0.00000515,0.0322,0.646,117.999,4
52NGJPcLUzQq5w7uv4e5gf,"4Gso3d4CscCijv0lmajZWs,1uNFoZAHBGtllmzznpCI3s,1RyvyyTE3xzB2ZywiAwp0i","Private Landing (feat. Justin Bieber & Future)","Love Sick","Don Toliver,Justin Bieber,Future",2023-02-24,238253,82,spotify:user:,2023-03-24T04:00:00Z,"rap,trap,canadian pop,pop,atl hip hop,southern hip hop",0.843,0.669,1,-4.105,0,0.0639,0.0846,0.0000128,0.105,0.435,136.979,4
3qXsX3mYSsD1DmAvc3PE3N,"718COspgdWOnwOFpJHRZHS","Love You Anyway","Love You Anyway","Luke Combs",2023-02-10,229626,82,spotify:user:,2023-03-24T04:00:00Z,"contemporary country,country",0.532,0.489,4,-7.419,1,0.0311,0.149,0,0.237,0.32,139.807,4
6maTPqynTmrkWIralgGaoP,"311uEW9rt5g2NmzjGEKS2E","If We Ever Broke Up","If We Ever Broke Up","Mae Stephens",2023-02-10,142758,85,spotify:user:,2023-03-24T04:00:00Z,"",0.898,0.732,7,-3.982,1,0.0427,0.621,0.0000129,0.0908,0.96,115.955,4
4FWbsd91QSvgr1dSWwW51e,"1KCSPY1glIKqW2TotWuXOR","TRUSTFALL","TRUSTFALL","P!nk",2023-01-27,237200,81,spotify:user:,2023-03-24T04:00:00Z,"dance pop,pop",0.636,0.888,8,-3.889,1,0.0945,0.00162,0.000216,0.147,0.25,122.032,4
2i2gDpKKWjvnRTOZRhaPh2,"1U1el3k54VvEUzo3ybLPlM","Moonlight","Moonlight","Kali Uchis",2023-02-24,187557,79,spotify:user:,2023-03-24T04:00:00Z,"colombian pop,pop",0.639,0.723,7,-6.462,0,0.0532,0.511,0,0.167,0.878,136.872,4
7oLKoGzQVwjZ91AzCn560T,"3FBEsNyIwRnOHOf1Rv3SLa","PAINTING PICTURES","5LBS OF PRESSURE","Superstar Pride",2022-10-20,122070,85,spotify:user:,2023-03-24T04:00:00Z,"",0.956,0.515,11,-9.962,0,0.337,0.305,0,0.156,0.69,119.937,4
2oMjKuKUEJFuLiVmTq7Vjx,"790FomKkXshlbRYZFtlgla,0EmeFodog0BfCgMzAIvKQp","TQG","TQG","KAROL G,Shakira",2023-02-23,198360,84,spotify:user:,2023-03-24T04:00:00Z,"reggaeton,reggaeton colombiano,urbano latino,colombian pop,dance pop,latin pop",0.839,0.65,4,-3.38,0,0.212,0.666,0,0.126,0.7,90.015,4
73ZWAySu4UX5LkpCM6zjYh,"3Ru5n2T3JIrjnSZhf2rinv","CHRONICALLY CAUTIOUS","CHRONICALLY CAUTIOUS","Braden Bales",2023-02-24,119571,75,spotify:user:,2023-03-24T04:00:00Z,"",0.698,0.581,1,-4.33,1,0.155,0.262,0,0.166,0.865,139.89,4
